Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ss_Plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-06 16:52:39 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Fe_T2_R1_Ss_S1-6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,Fe_T2_R1_Ss_S1-9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,Fe_T2_R1_Ss_S2-16,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Fe_T2_R1_Ss_S2-25,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A5,Fe_T2_R1_Ss_S3-6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A6,Fe_T2_R1_Ss_S3-12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A7,Fe_T2_R1_Ss_S4-9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A8,Fe_T2_R1_Ss_S4-11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A9,Fe_T2_R1_Ss_S5-14,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A10,Fe_T2_R1_Ss_S5-25,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A11,Fe_T2_R1_Ss_S6-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,Fe_T2_R1_Ss_S6-12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,Fe_T2_R1_Ss_S1-6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B2,Fe_T2_R1_Ss_S1-9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,Fe_T2_R1_Ss_S2-16,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B4,Fe_T2_R1_Ss_S2-25,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B5,Fe_T2_R1_Ss_S3-6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B6,Fe_T2_R1_Ss_S3-12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B7,Fe_T2_R1_Ss_S4-9,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B8,Fe_T2_R1_Ss_S4-11,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B9,Fe_T2_R1_Ss_S5-14,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B10,Fe_T2_R1_Ss_S5-25,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B11,Fe_T2_R1_Ss_S6-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,Fe_T2_R1_Ss_S6-12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C1,Fe_T2_R1_Ss_S1-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.24842453,21.1517028809,0.1367837191,,,,1,0.02,1,3,18,,N,N,N
C2,Fe_T2_R1_Ss_S1-9,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4419078827,23.4439735413,0.0029199338,,,,1,0.02,1,3,20,,N,N,N
C3,Fe_T2_R1_Ss_S2-16,Ssid,UNKNOWN,FAM,NFQ-MGB,26.1175231934,25.9316616058,0.2628479898,,,,1,0.02,1,3,23,,N,N,N
C4,Fe_T2_R1_Ss_S2-25,Ssid,UNKNOWN,FAM,NFQ-MGB,26.0312747955,26.2106437683,0.2536673844,,,,1,0.02,1,3,24,,N,N,N
C5,Fe_T2_R1_Ss_S3-6,Ssid,UNKNOWN,FAM,NFQ-MGB,29.6966819763,28.7968120575,1.2726082802,,,,1,0.02,1,3,27,,Y,N,N
C6,Fe_T2_R1_Ss_S3-12,Ssid,UNKNOWN,FAM,NFQ-MGB,28.7236652374,28.3422889709,0.5393488407,,,,1,0.02,1,3,26,,Y,N,N
C7,Fe_T2_R1_Ss_S4-9,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0345230103,22.1158313751,0.1149873957,,,,1,0.02,1,3,19,,N,N,N
C8,Fe_T2_R1_Ss_S4-11,Ssid,UNKNOWN,FAM,NFQ-MGB,26.5489273071,26.6212463379,0.1022759005,,,,1,0.02,1,3,24,,N,N,N
C9,Fe_T2_R1_Ss_S5-14,Ssid,UNKNOWN,FAM,NFQ-MGB,25.1968688965,25.1784896851,0.0259934794,,,,1,0.02,1,3,23,,N,N,N
C10,Fe_T2_R1_Ss_S5-25,Ssid,UNKNOWN,FAM,NFQ-MGB,31.7895488739,31.8759422302,0.1221800074,,,,1,0.02,1,3,29,,N,N,N
C11,Fe_T2_R1_Ss_S6-1,Ssid,UNKNOWN,FAM,NFQ-MGB,34.1482582092,35.3182830811,1.6546649933,,,,1,0.02,1,3,32,,Y,N,N
C12,Fe_T2_R1_Ss_S6-12,Ssid,UNKNOWN,FAM,NFQ-MGB,26.4930992126,26.4910507202,0.0028970058,,,,1,0.02,1,3,24,,N,N,N
D1,Fe_T2_R1_Ss_S1-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.054983139,21.1517028809,0.1367837191,,,,1,0.02,1,3,18,,N,N,N
D2,Fe_T2_R1_Ss_S1-9,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4460372925,23.4439735413,0.0029199338,,,,1,0.02,1,3,21,,N,N,N
D3,Fe_T2_R1_Ss_S2-16,Ssid,UNKNOWN,FAM,NFQ-MGB,25.7458000183,25.9316616058,0.2628479898,,,,1,0.02,1,3,23,,N,N,N
D4,Fe_T2_R1_Ss_S2-25,Ssid,UNKNOWN,FAM,NFQ-MGB,26.3900146484,26.2106437683,0.2536673844,,,,1,0.02,1,3,24,,N,N,N
D5,Fe_T2_R1_Ss_S3-6,Ssid,UNKNOWN,FAM,NFQ-MGB,27.8969421387,28.7968120575,1.2726082802,,,,1,0.02,1,3,26,,Y,N,N
D6,Fe_T2_R1_Ss_S3-12,Ssid,UNKNOWN,FAM,NFQ-MGB,27.9609107971,28.3422889709,0.5393488407,,,,1,0.02,1,3,25,,Y,N,N
D7,Fe_T2_R1_Ss_S4-9,Ssid,UNKNOWN,FAM,NFQ-MGB,22.19713974,22.1158313751,0.1149873957,,,,1,0.02,1,3,20,,N,N,N
D8,Fe_T2_R1_Ss_S4-11,Ssid,UNKNOWN,FAM,NFQ-MGB,26.693567276,26.6212463379,0.1022759005,,,,1,0.02,1,3,24,,N,N,N
D9,Fe_T2_R1_Ss_S5-14,Ssid,UNKNOWN,FAM,NFQ-MGB,25.1601085663,25.1784896851,0.0259934794,,,,1,0.02,1,3,22,,N,N,N
D10,Fe_T2_R1_Ss_S5-25,Ssid,UNKNOWN,FAM,NFQ-MGB,31.9623374939,31.8759422302,0.1221800074,,,,1,0.02,1,3,30,,N,N,N
D11,Fe_T2_R1_Ss_S6-1,Ssid,UNKNOWN,FAM,NFQ-MGB,36.4883079529,35.3182830811,1.6546649933,,,,1,0.02,1,3,34,,Y,N,N
D12,Fe_T2_R1_Ss_S6-12,Ssid,UNKNOWN,FAM,NFQ-MGB,26.4890022278,26.4910507202,0.0028970058,,,,1,0.02,1,3,24,,N,N,N
E1,Fe_T2_R1_Ss_S1-6,C,UNKNOWN,VIC,NFQ-MGB,28.6728458405,28.9183959961,0.3472603559,,,,1,0.02,1,3,27,,N,N,N
E1,Fe_T2_R1_Ss_S1-6,D,UNKNOWN,FAM,NFQ-MGB,29.3381671906,29.1375732422,0.2836840451,,,,1,0.02,1,3,27,,N,N,N
E2,Fe_T2_R1_Ss_S1-9,C,UNKNOWN,VIC,NFQ-MGB,29.4376106262,29.5863685608,0.2103768438,,,,1,0.02,1,3,28,,Y,N,N
E2,Fe_T2_R1_Ss_S1-9,D,UNKNOWN,FAM,NFQ-MGB,28.3875713348,28.9234619141,0.7578650713,,,,1,0.02,1,3,26,,Y,N,N
E3,Fe_T2_R1_Ss_S2-16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E3,Fe_T2_R1_Ss_S2-16,D,UNKNOWN,FAM,NFQ-MGB,30.6874446869,30.4929618835,0.2750402093,,,,1,0.02,1,3,29,,N,Y,Y
E4,Fe_T2_R1_Ss_S2-25,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,Y,Y,Y
E4,Fe_T2_R1_Ss_S2-25,D,UNKNOWN,FAM,NFQ-MGB,29.5165328979,29.9487361908,0.6112277508,,,,1,0.02,1,3,27,,Y,Y,Y
E5,Fe_T2_R1_Ss_S3-6,C,UNKNOWN,VIC,NFQ-MGB,33.3667984009,33.5204925537,0.2173536569,,,,1,0.02,1,3,32,,N,Y,Y
E5,Fe_T2_R1_Ss_S3-6,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
E6,Fe_T2_R1_Ss_S3-12,C,UNKNOWN,VIC,NFQ-MGB,36.4628639221,35.4505310059,1.4316549301,,,,1,0.02,1,3,35,,Y,Y,Y
