Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate7.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-07 14:12:16 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NPF_T2_R1_Ss_S1-5,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NPF_T2_R1_Ss_S1-18,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,NPF_T2_R1_Ss_S2-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,NPF_T2_R1_Ss_S2-30,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A5,NPF_T2_R1_Ss_S3-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A6,NPF_T2_R1_Ss_S3-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A7,NPF_T2_R1_Ss_S4-10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A8,NPF_T2_R1_Ss_S4-17,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A9,NPF_T2_R1_Ss_S5-5,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A10,NPF_T2_R1_Ss_S5-27,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A11,NPF_T2_R1_Ss_S6-6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A12,NPF_T2_R1_Ss_S6-13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,NPF_T2_R1_Ss_S1-5,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B2,NPF_T2_R1_Ss_S1-18,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,NPF_T2_R1_Ss_S2-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B4,NPF_T2_R1_Ss_S2-30,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B5,NPF_T2_R1_Ss_S3-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B6,NPF_T2_R1_Ss_S3-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B7,NPF_T2_R1_Ss_S4-10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B8,NPF_T2_R1_Ss_S4-17,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B9,NPF_T2_R1_Ss_S5-5,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B10,NPF_T2_R1_Ss_S5-27,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B11,NPF_T2_R1_Ss_S6-6,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,NPF_T2_R1_Ss_S6-13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C1,NPF_T2_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8972816467,20.5913314819,0.4326788783,,,,0,0.02,1,3,18,,N,N,N
C2,NPF_T2_R1_Ss_S1-18,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0864944458,20.0804634094,0.0085305218,,,,0,0.02,1,3,17,,N,N,N
C3,NPF_T2_R1_Ss_S2-28,Ssid,UNKNOWN,FAM,NFQ-MGB,20.001996994,19.8988018036,0.1459400356,,,,0,0.02,1,3,17,,N,N,N
C4,NPF_T2_R1_Ss_S2-30,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3526058197,20.0511760712,0.4262860417,,,,0,0.02,1,3,18,,N,N,N
C5,NPF_T2_R1_Ss_S3-1,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9525413513,21.5935935974,0.5076274276,,,,0,0.02,1,3,19,,Y,N,N
C6,NPF_T2_R1_Ss_S3-28,Ssid,UNKNOWN,FAM,NFQ-MGB,21.8538265228,22.0375785828,0.2598659992,,,,0,0.02,1,3,19,,N,N,N
C7,NPF_T2_R1_Ss_S4-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3111629486,20.6035785675,0.4135381281,,,,0,0.02,1,3,18,,N,N,N
C8,NPF_T2_R1_Ss_S4-17,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6802635193,20.3277359009,0.4985493422,,,,0,0.02,1,3,18,,N,N,N
C9,NPF_T2_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,19.7980537415,19.9479598999,0.212000668,,,,0,0.02,1,3,17,,N,N,N
C10,NPF_T2_R1_Ss_S5-27,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7334785461,20.4548301697,0.3940683007,,,,0,0.02,1,3,18,,N,N,N
C11,NPF_T2_R1_Ss_S6-6,Ssid,UNKNOWN,FAM,NFQ-MGB,21.4461669922,20.9722175598,0.6702643633,,,,0,0.02,1,3,19,,Y,N,N
C12,NPF_T2_R1_Ss_S6-13,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8283157349,20.9878845215,0.2256643474,,,,0,0.02,1,3,18,,N,N,N
D1,NPF_T2_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2853813171,20.5913314819,0.4326788783,,,,0,0.02,1,3,17,,N,N,N
D2,NPF_T2_R1_Ss_S1-18,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0744304657,20.0804634094,0.0085305218,,,,0,0.02,1,3,17,,N,N,N
D3,NPF_T2_R1_Ss_S2-28,Ssid,UNKNOWN,FAM,NFQ-MGB,19.7956066132,19.8988018036,0.1459400356,,,,0,0.02,1,3,17,,N,N,N
D4,NPF_T2_R1_Ss_S2-30,Ssid,UNKNOWN,FAM,NFQ-MGB,19.7497463226,20.0511760712,0.4262860417,,,,0,0.02,1,3,17,,N,N,N
D5,NPF_T2_R1_Ss_S3-1,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2346477509,21.5935935974,0.5076274276,,,,0,0.02,1,3,18,,Y,N,N
D6,NPF_T2_R1_Ss_S3-28,Ssid,UNKNOWN,FAM,NFQ-MGB,22.22133255,22.0375785828,0.2598659992,,,,0,0.02,1,3,20,,N,N,N
D7,NPF_T2_R1_Ss_S4-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8959941864,20.6035785675,0.4135381281,,,,0,0.02,1,3,19,,N,N,N
D8,NPF_T2_R1_Ss_S4-17,Ssid,UNKNOWN,FAM,NFQ-MGB,19.9752082825,20.3277359009,0.4985493422,,,,0,0.02,1,3,17,,N,N,N
D9,NPF_T2_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0978679657,19.9479598999,0.212000668,,,,0,0.02,1,3,17,,N,N,N
D10,NPF_T2_R1_Ss_S5-27,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1761817932,20.4548301697,0.3940683007,,,,0,0.02,1,3,17,,N,N,N
D11,NPF_T2_R1_Ss_S6-6,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4982700348,20.9722175598,0.6702643633,,,,0,0.02,1,3,18,,Y,N,N
D12,NPF_T2_R1_Ss_S6-13,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1474533081,20.9878845215,0.2256643474,,,,0,0.02,1,3,18,,N,N,N
E1,NPF_T2_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,25.4440956116,25.6248321533,0.255600065,,,,0,0.02,1,3,24,,N,N,N
E1,NPF_T2_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,25.9435844421,26.2376556396,0.4158808291,,,,0,0.02,1,3,24,,N,N,N
E2,NPF_T2_R1_Ss_S1-18,C,UNKNOWN,VIC,NFQ-MGB,29.0761089325,29.0237693787,0.0740179569,,,,0,0.02,1,3,27,,N,N,N
E2,NPF_T2_R1_Ss_S1-18,D,UNKNOWN,FAM,NFQ-MGB,24.89494133,24.7671432495,0.180733785,,,,0,0.02,1,3,23,,N,N,N
E3,NPF_T2_R1_Ss_S2-28,C,UNKNOWN,VIC,NFQ-MGB,36.413684845,36.413684845,,,,,0,0.02,1,3,35,,N,N,N
E3,NPF_T2_R1_Ss_S2-28,D,UNKNOWN,FAM,NFQ-MGB,23.3128757477,23.4106388092,0.1382578462,,,,0,0.02,1,3,22,,N,N,N
E4,NPF_T2_R1_Ss_S2-30,C,UNKNOWN,VIC,NFQ-MGB,32.9788208008,32.9839248657,0.007218238,,,,0,0.02,1,3,32,,N,N,N
E4,NPF_T2_R1_Ss_S2-30,D,UNKNOWN,FAM,NFQ-MGB,24.0325164795,24.1788539886,0.2069524974,,,,0,0.02,1,3,22,,N,N,N
E5,NPF_T2_R1_Ss_S3-1,C,UNKNOWN,VIC,NFQ-MGB,26.8937187195,26.577331543,0.4474403858,,,,0,0.02,1,3,25,,N,N,N
E5,NPF_T2_R1_Ss_S3-1,D,UNKNOWN,FAM,NFQ-MGB,27.9365730286,27.7148284912,0.3135927916,,,,0,0.02,1,3,26,,N,N,N
E6,NPF_T2_R1_Ss_S3-28,C,UNKNOWN,VIC,NFQ-MGB,28.0022449493,27.8171634674,0.2617447376,,,,0,0.02,1,3,26,,N,N,N
E6,NPF_T2_R1_Ss_S3-28,D,UNKNOWN,FAM,NFQ-MGB,26.4534034729,26.2139129639,0.3386907279,,,,0,0.02,1,3,24,,N,N,N
E7,NPF_T2_R1_Ss_S4-10,C,UNKNOWN,VIC,NFQ-MGB,24.2263069153,24.2234344482,0.0040622819,,,,0,0.02,1,3,22,,N,N,N
E7,NPF_T2_R1_Ss_S4-10,D,UNKNOWN,FAM,NFQ-MGB,27.4349441528,27.2809104919,0.2178378403,,,,0,0.02,1,3,26,,N,N,N
E8,NPF_T2_R1_Ss_S4-17,C,UNKNOWN,VIC,NFQ-MGB,25.4043674469,25.2628364563,0.2001550496,,,,0,0.02,1,3,24,,N,N,N
E8,NPF_T2_R1_Ss_S4-17,D,UNKNOWN,FAM,NFQ-MGB,26.3059425354,26.2804050446,0.0361154675,,,,0,0.02,1,3,24,,N,N,N
E9,NPF_T2_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,33.3261299133,33.7279777527,0.5682986379,,,,0,0.02,1,3,32,,Y,N,N
E9,NPF_T2_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,24.5887069702,24.3988456726,0.2685057819,,,,0,0.02,1,3,23,,Y,N,N
E10,NPF_T2_R1_Ss_S5-27,C,UNKNOWN,VIC,NFQ-MGB,28.4481391907,28.3894538879,0.0829922035,,,,0,0.02,1,3,27,,N,N,N
E10,NPF_T2_R1_Ss_S5-27,D,UNKNOWN,FAM,NFQ-MGB,25.5278110504,25.388212204,0.1974225789,,,,0,0.02,1,3,24,,N,N,N
E11,NPF_T2_R1_Ss_S6-6,C,UNKNOWN,VIC,NFQ-MGB,31.9933757782,31.374382019,0.8753880262,,,,0,0.02,1,3,31,,Y,N,N
E11,NPF_T2_R1_Ss_S6-6,D,UNKNOWN,FAM,NFQ-MGB,24.1901416779,24.2079811096,0.0252301153,,,,0,0.02,1,3,22,,Y,N,N
E12,NPF_T2_R1_Ss_S6-13,C,UNKNOWN,VIC,NFQ-MGB,31.7273445129,31.7900886536,0.0887322649,,,,0,0.02,1,3,31,,N,N,N
E12,NPF_T2_R1_Ss_S6-13,D,UNKNOWN,FAM,NFQ-MGB,24.4886035919,24.3276634216,0.2276024222,,,,0,0.02,1,3,23,,N,N,N
F1,NPF_T2_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,25.8055686951,25.6248321533,0.255600065,,,,0,0.02,1,3,24,,N,N,N
F1,NPF_T2_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,26.5317287445,26.2376556396,0.4158808291,,,,0,0.02,1,3,25,,N,N,N
F2,NPF_T2_R1_Ss_S1-18,C,UNKNOWN,VIC,NFQ-MGB,28.9714317322,29.0237693787,0.0740179569,,,,0,0.02,1,3,27,,N,N,N
F2,NPF_T2_R1_Ss_S1-18,D,UNKNOWN,FAM,NFQ-MGB,24.6393451691,24.7671432495,0.180733785,,,,0,0.02,1,3,22,,N,N,N
F3,NPF_T2_R1_Ss_S2-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.413684845,,,,,0,0.02,1,3,39,,N,Y,Y
F3,NPF_T2_R1_Ss_S2-28,D,UNKNOWN,FAM,NFQ-MGB,23.5084018707,23.4106388092,0.1382578462,,,,0,0.02,1,3,21,,N,Y,Y
F4,NPF_T2_R1_Ss_S2-30,C,UNKNOWN,VIC,NFQ-MGB,32.9890289307,32.9839248657,0.007218238,,,,0,0.02,1,3,32,,N,N,N
F4,NPF_T2_R1_Ss_S2-30,D,UNKNOWN,FAM,NFQ-MGB,24.3251914978,24.1788539886,0.2069524974,,,,0,0.02,1,3,22,,N,N,N
F5,NPF_T2_R1_Ss_S3-1,C,UNKNOWN,VIC,NFQ-MGB,26.2609424591,26.577331543,0.4474403858,,,,0,0.02,1,3,24,,N,N,N
F5,NPF_T2_R1_Ss_S3-1,D,UNKNOWN,FAM,NFQ-MGB,27.4930858612,27.7148284912,0.3135927916,,,,0,0.02,1,3,26,,N,N,N
F6,NPF_T2_R1_Ss_S3-28,C,UNKNOWN,VIC,NFQ-MGB,27.6320819855,27.8171634674,0.2617447376,,,,0,0.02,1,3,26,,N,N,N
F6,NPF_T2_R1_Ss_S3-28,D,UNKNOWN,FAM,NFQ-MGB,25.9744224548,26.2139129639,0.3386907279,,,,0,0.02,1,3,24,,N,N,N
