Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 15:26:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T0_R2_Ss_S1-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,C_T0_R2_Ss_S1-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,C_T0_R2_Ss_S1-13,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2502059937,21.0385131836,0.2993788421,,,,0,0.02,1,3,18,,N,N,N
A4,C_T0_R2_Ss_S1-13,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8268203735,21.0385131836,0.2993788421,,,,0,0.02,1,3,19,,N,N,N
A5,C_T0_R2_Ss_S1-13,C,UNKNOWN,VIC,NFQ-MGB,26.8051052094,27.0526809692,0.350124985,,,,0,0.02,1,3,25,,Y,N,N
A5,C_T0_R2_Ss_S1-13,D,UNKNOWN,FAM,NFQ-MGB,31.4705867767,32.0788154602,0.8601639271,,,,0,0.02,1,3,30,,Y,N,N
A6,C_T0_R2_Ss_S1-13,C,UNKNOWN,VIC,NFQ-MGB,27.3002567291,27.0526809692,0.350124985,,,,0,0.02,1,3,26,,Y,N,N
A6,C_T0_R2_Ss_S1-13,D,UNKNOWN,FAM,NFQ-MGB,32.6870422363,32.0788154602,0.8601639271,,,,0,0.02,1,3,31,,Y,N,N
A7,C_T0_R2_Ss_S5-10,C,UNKNOWN,VIC,NFQ-MGB,28.0562744141,28.2906341553,0.3314360678,,,,0,0.02,1,3,26,,N,N,N
A7,C_T0_R2_Ss_S5-10,D,UNKNOWN,FAM,NFQ-MGB,24.9071006775,25.0862464905,0.2533504367,,,,0,0.02,1,3,23,,N,N,N
A8,C_T0_R2_Ss_S5-10,C,UNKNOWN,VIC,NFQ-MGB,28.5249958038,28.2906341553,0.3314360678,,,,0,0.02,1,3,27,,N,N,N
A8,C_T0_R2_Ss_S5-10,D,UNKNOWN,FAM,NFQ-MGB,25.2653923035,25.0862464905,0.2533504367,,,,0,0.02,1,3,24,,N,N,N
A9,C_T0_R2_Ss_S5-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1112823486,20.565612793,0.6425189376,,,,0,0.02,1,3,18,,Y,N,N
A10,C_T0_R2_Ss_S5-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.01994133,20.565612793,0.6425189376,,,,0,0.02,1,3,18,,Y,N,N
A11,C_T0_R2_Ss_S5-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A12,C_T0_R2_Ss_S5-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B1,C_T0_R2_Ss_S1-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B2,C_T0_R2_Ss_S1-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,C_T0_R2_Ss_S1-23,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0490131378,19.8617515564,0.2648278773,,,,0,0.02,1,3,18,,N,N,N
B4,C_T0_R2_Ss_S1-23,Ssid,UNKNOWN,FAM,NFQ-MGB,19.674489975,19.8617515564,0.2648278773,,,,0,0.02,1,3,17,,N,N,N
B5,C_T0_R2_Ss_S1-23,C,UNKNOWN,VIC,NFQ-MGB,28.7244338989,28.9861183167,0.3700776398,,,,0,0.02,1,3,27,,Y,N,N
B5,C_T0_R2_Ss_S1-23,D,UNKNOWN,FAM,NFQ-MGB,26.0131130219,26.4281311035,0.5869241953,,,,0,0.02,1,3,24,,Y,N,N
B6,C_T0_R2_Ss_S1-23,C,UNKNOWN,VIC,NFQ-MGB,29.2478027344,28.9861183167,0.3700776398,,,,0,0.02,1,3,28,,Y,N,N
B6,C_T0_R2_Ss_S1-23,D,UNKNOWN,FAM,NFQ-MGB,26.8431491852,26.4281311035,0.5869241953,,,,0,0.02,1,3,25,,Y,N,N
B7,C_T0_R2_Ss_S5-15,C,UNKNOWN,VIC,NFQ-MGB,34.609828949,34.9539031982,0.4865971804,,,,0,0.02,1,3,34,,N,N,N
B7,C_T0_R2_Ss_S5-15,D,UNKNOWN,FAM,NFQ-MGB,24.4169330597,24.5567359924,0.1977098584,,,,0,0.02,1,3,23,,N,N,N
B8,C_T0_R2_Ss_S5-15,C,UNKNOWN,VIC,NFQ-MGB,35.2979812622,34.9539031982,0.4865971804,,,,0,0.02,1,3,35,,N,N,N
B8,C_T0_R2_Ss_S5-15,D,UNKNOWN,FAM,NFQ-MGB,24.6965370178,24.5567359924,0.1977098584,,,,0,0.02,1,3,23,,N,N,N
B9,C_T0_R2_Ss_S5-15,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9490509033,20.7973976135,0.2144714892,,,,0,0.02,1,3,18,,N,N,N
B10,C_T0_R2_Ss_S5-15,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6457424164,20.7973976135,0.2144714892,,,,0,0.02,1,3,18,,N,N,N
B11,C_T0_R2_Ss_S5-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,C_T0_R2_Ss_S5-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C1,C_T0_R2_Ss_S2-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C2,C_T0_R2_Ss_S2-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,C_T0_R2_Ss_S2-2,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7826156616,20.9043502808,0.1721601039,,,,0,0.02,1,3,18,,N,N,N
C4,C_T0_R2_Ss_S2-2,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0260868073,20.9043502808,0.1721601039,,,,0,0.02,1,3,19,,N,N,N
C5,C_T0_R2_Ss_S2-2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
