Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate16.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 18:42:06 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T2_R2_Ss_S1-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.5232887268,,,,,0,0.02,1,3,39,,N,N,Y
A2,C_T2_R2_Ss_S1-13,B,UNKNOWN,FAM,NFQ-MGB,38.5232887268,38.5232887268,,,,,0,0.02,1,3,35,,N,N,N
A3,C_T2_R2_Ss_S1-13,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2095966339,20.3015403748,0.1300280839,,,,1,0.02,1,3,18,,N,N,N
A4,C_T2_R2_Ss_S1-13,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3934841156,20.3015403748,0.1300280839,,,,1,0.02,1,3,18,,N,N,N
A5,C_T2_R2_Ss_S1-13,C,UNKNOWN,VIC,NFQ-MGB,26.9300251007,26.9552326202,0.0356488153,,,,1,0.02,1,3,26,,Y,N,N
A5,C_T2_R2_Ss_S1-13,D,UNKNOWN,FAM,NFQ-MGB,31.5381660461,32.6377944946,1.5551121235,,,,1,0.02,1,3,30,,Y,N,N
A6,C_T2_R2_Ss_S1-13,C,UNKNOWN,VIC,NFQ-MGB,26.9804401398,26.9552326202,0.0356488153,,,,1,0.02,1,3,25,,Y,N,N
A6,C_T2_R2_Ss_S1-13,D,UNKNOWN,FAM,NFQ-MGB,33.7374267578,32.6377944946,1.5551121235,,,,1,0.02,1,3,32,,Y,N,N
A7,C_T2_R2_Ss_S5-10,C,UNKNOWN,VIC,NFQ-MGB,30.2248821259,30.3598823547,0.1909178048,,,,1,0.02,1,3,29,,N,N,N
A7,C_T2_R2_Ss_S5-10,D,UNKNOWN,FAM,NFQ-MGB,28.1552600861,28.24792099,0.1310423017,,,,1,0.02,1,3,26,,N,N,N
A8,C_T2_R2_Ss_S5-10,C,UNKNOWN,VIC,NFQ-MGB,30.4948806763,30.3598823547,0.1909178048,,,,1,0.02,1,3,29,,N,N,N
A8,C_T2_R2_Ss_S5-10,D,UNKNOWN,FAM,NFQ-MGB,28.3405818939,28.24792099,0.1310423017,,,,1,0.02,1,3,26,,N,N,N
