Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate20.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 14:30:25 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,N_T1_R2_Ss_S1-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,N_T1_R2_Ss_S1-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A3,N_T1_R2_Ss_S1-8,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5236701965,21.3183059692,0.2904288769,,,,1,0.02,1,3,19,,N,N,N
A4,N_T1_R2_Ss_S1-8,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1129417419,21.3183059692,0.2904288769,,,,1,0.02,1,3,19,,N,N,N
A5,N_T1_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,29.1111717224,29.2231674194,0.1583871841,,,,1,0.02,1,3,27,,N,N,N
A5,N_T1_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,29.8305435181,29.5431594849,0.4064210355,,,,1,0.02,1,3,28,,N,N,N
A6,N_T1_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,29.3351650238,29.2231674194,0.1583871841,,,,1,0.02,1,3,28,,N,N,N
A6,N_T1_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,29.255777359,29.5431594849,0.4064210355,,,,1,0.02,1,3,27,,N,N,N
A7,N_T1_R2_Ss_S5-17,C,UNKNOWN,VIC,NFQ-MGB,36.9060287476,36.9060287476,,,,,1,0.02,1,3,35,,N,N,N
A7,N_T1_R2_Ss_S5-17,D,UNKNOWN,FAM,NFQ-MGB,26.2998523712,26.4429931641,0.202431649,,,,1,0.02,1,3,24,,N,N,N
