Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate21.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 17:09:29 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,N_T2_R2_Ss_S1-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A2,N_T2_R2_Ss_S1-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,N_T2_R2_Ss_S1-8,Ssid,UNKNOWN,FAM,NFQ-MGB,21.0140419006,20.9962425232,0.0251707714,,,,1,0.02,1,3,18,,N,N,N
A4,N_T2_R2_Ss_S1-8,Ssid,UNKNOWN,FAM,NFQ-MGB,20.9784450531,20.9962425232,0.0251707714,,,,1,0.02,1,3,18,,N,N,N
A5,N_T2_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,26.9502906799,26.915058136,0.0498249941,,,,1,0.02,1,3,25,,N,N,N
A5,N_T2_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,27.9609031677,27.9730377197,0.0171621963,,,,1,0.02,1,3,26,,N,N,N
A6,N_T2_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,26.8798274994,26.915058136,0.0498249941,,,,1,0.02,1,3,25,,N,N,N
A6,N_T2_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,27.9851741791,27.9730377197,0.0171621963,,,,1,0.02,1,3,26,,N,N,N
A7,N_T2_R2_Ss_S5-17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.7345542908,,,,,1,0.02,1,3,39,,N,Y,Y
A7,N_T2_R2_Ss_S5-17,D,UNKNOWN,FAM,NFQ-MGB,27.4264259338,27.3868923187,0.0559089743,,,,1,0.02,1,3,26,,N,Y,Y
A8,N_T2_R2_Ss_S5-17,C,UNKNOWN,VIC,NFQ-MGB,33.7345542908,33.7345542908,,,,,1,0.02,1,3,32,,N,N,N
A8,N_T2_R2_Ss_S5-17,D,UNKNOWN,FAM,NFQ-MGB,27.3473587036,27.3868923187,0.0559089743,,,,1,0.02,1,3,25,,N,N,N
A9,N_T2_R2_Ss_S5-17,Ssid,UNKNOWN,FAM,NFQ-MGB,24.9103603363,25.1590652466,0.3517205119,,,,1,0.02,1,3,23,,N,N,N
A10,N_T2_R2_Ss_S5-17,Ssid,UNKNOWN,FAM,NFQ-MGB,25.4077682495,25.1590652466,0.3517205119,,,,1,0.02,1,3,23,,N,N,N
