Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate23.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-27 17:51:16 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NPF_T1_R2_Ss_S1-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NPF_T1_R2_Ss_S1-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,NPF_T1_R2_Ss_S1-2,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8739891052,20.0531311035,0.2533463836,,,,0,0.02,1,3,17,,N,N,N
A4,NPF_T1_R2_Ss_S1-2,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2322750092,20.0531311035,0.2533463836,,,,0,0.02,1,3,18,,N,N,N
A5,NPF_T1_R2_Ss_S1-2,C,UNKNOWN,VIC,NFQ-MGB,26.259885788,26.7401924133,0.6792547703,,,,0,0.02,1,3,24,,Y,N,N
A5,NPF_T1_R2_Ss_S1-2,D,UNKNOWN,FAM,NFQ-MGB,27.937046051,28.0662174225,0.1826758981,,,,0,0.02,1,3,26,,Y,N,N
A6,NPF_T1_R2_Ss_S1-2,C,UNKNOWN,VIC,NFQ-MGB,27.2204971313,26.7401924133,0.6792547703,,,,0,0.02,1,3,25,,Y,N,N
A6,NPF_T1_R2_Ss_S1-2,D,UNKNOWN,FAM,NFQ-MGB,28.1953887939,28.0662174225,0.1826758981,,,,0,0.02,1,3,26,,Y,N,N
A7,NPF_T1_R2_Ss_S5-19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A7,NPF_T1_R2_Ss_S5-19,D,UNKNOWN,FAM,NFQ-MGB,26.3977661133,26.2668647766,0.1851224452,,,,0,0.02,1,3,24,,N,Y,Y
A8,NPF_T1_R2_Ss_S5-19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A8,NPF_T1_R2_Ss_S5-19,D,UNKNOWN,FAM,NFQ-MGB,26.1359634399,26.2668647766,0.1851224452,,,,0,0.02,1,3,24,,N,Y,Y
A9,NPF_T1_R2_Ss_S5-19,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0229187012,21.9820632935,0.0577782728,,,,0,0.02,1,3,20,,N,N,N
A10,NPF_T1_R2_Ss_S5-19,Ssid,UNKNOWN,FAM,NFQ-MGB,21.9412078857,21.9820632935,0.0577782728,,,,0,0.02,1,3,20,,N,N,N
A11,NPF_T1_R2_Ss_S5-19,B,UNKNOWN,FAM,NFQ-MGB,39.1345481873,39.1345481873,,,,,0,0.02,1,3,35,,N,N,N
A12,NPF_T1_R2_Ss_S5-19,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.1345481873,,,,,0,0.02,1,3,39,,N,N,Y
B1,NPF_T1_R2_Ss_S1-28,B,UNKNOWN,FAM,NFQ-MGB,39.3169441223,39.3169441223,,,,,0,0.02,1,3,35,,N,N,N
B2,NPF_T1_R2_Ss_S1-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3169441223,,,,,0,0.02,1,3,39,,N,Y,Y
B3,NPF_T1_R2_Ss_S1-28,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8641242981,19.8420372009,0.0312358718,,,,0,0.02,1,3,17,,N,N,N
B4,NPF_T1_R2_Ss_S1-28,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8199501038,19.8420372009,0.0312358718,,,,0,0.02,1,3,17,,N,N,N
B5,NPF_T1_R2_Ss_S1-28,C,UNKNOWN,VIC,NFQ-MGB,29.9183635712,29.2823638916,0.8994407058,,,,0,0.02,1,3,28,,Y,N,N
B5,NPF_T1_R2_Ss_S1-28,D,UNKNOWN,FAM,NFQ-MGB,26.2707767487,26.2524909973,0.025858609,,,,0,0.02,1,3,24,,Y,N,N
B6,NPF_T1_R2_Ss_S1-28,C,UNKNOWN,VIC,NFQ-MGB,28.6463623047,29.2823638916,0.8994407058,,,,0,0.02,1,3,27,,Y,N,N
B6,NPF_T1_R2_Ss_S1-28,D,UNKNOWN,FAM,NFQ-MGB,26.2342071533,26.2524909973,0.025858609,,,,0,0.02,1,3,24,,Y,N,N
B7,NPF_T1_R2_Ss_S5-21,C,UNKNOWN,VIC,NFQ-MGB,29.7597961426,29.7295913696,0.0427160002,,,,0,0.02,1,3,28,,N,N,N
