Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate27.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-29 17:01:12 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NP_T1_R2_Ss_S1-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NP_T1_R2_Ss_S1-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,NP_T1_R2_Ss_S1-11,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6745834351,20.7190437317,0.0628763512,,,,1,0.02,1,3,18,,N,N,N
A4,NP_T1_R2_Ss_S1-11,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7635040283,20.7190437317,0.0628763512,,,,1,0.02,1,3,18,,N,N,N
A5,NP_T1_R2_Ss_S1-11,C,UNKNOWN,VIC,NFQ-MGB,27.7624721527,27.7968540192,0.0486233011,,,,1,0.02,1,3,26,,N,N,Y
A5,NP_T1_R2_Ss_S1-11,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
A6,NP_T1_R2_Ss_S1-11,C,UNKNOWN,VIC,NFQ-MGB,27.8312358856,27.7968540192,0.0486233011,,,,1,0.02,1,3,26,,N,N,Y
A6,NP_T1_R2_Ss_S1-11,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
A7,NP_T1_R2_Ss_S5-2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
A7,NP_T1_R2_Ss_S5-2,D,UNKNOWN,FAM,NFQ-MGB,26.8683776855,27.0866260529,0.3086498082,,,,1,0.02,1,3,25,,N,N,Y
A8,NP_T1_R2_Ss_S5-2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
A8,NP_T1_R2_Ss_S5-2,D,UNKNOWN,FAM,NFQ-MGB,27.3048744202,27.0866260529,0.3086498082,,,,1,0.02,1,3,25,,N,N,Y
A9,NP_T1_R2_Ss_S5-2,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8755550385,23.4492492676,0.8113261461,,,,1,0.02,1,3,21,,Y,N,N
A10,NP_T1_R2_Ss_S5-2,Ssid,UNKNOWN,FAM,NFQ-MGB,24.0229434967,23.4492492676,0.8113261461,,,,1,0.02,1,3,21,,Y,N,N
A11,NP_T1_R2_Ss_S5-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
