Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate_28.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-29 18:40:00 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NP_T2_R2_Ss_S1-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
A2,NP_T2_R2_Ss_S1-11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,NP_T2_R2_Ss_S1-11,Ssid,UNKNOWN,FAM,NFQ-MGB,19.7211780548,19.6526489258,0.0969148204,,,,0,0.02,1,3,17,,N,N,N
A4,NP_T2_R2_Ss_S1-11,Ssid,UNKNOWN,FAM,NFQ-MGB,19.5841197968,19.6526489258,0.0969148204,,,,0,0.02,1,3,17,,N,N,N
A5,NP_T2_R2_Ss_S1-11,C,UNKNOWN,VIC,NFQ-MGB,26.5818939209,26.5664138794,0.0218907353,,,,0,0.02,1,3,25,,N,N,N
A5,NP_T2_R2_Ss_S1-11,D,UNKNOWN,FAM,NFQ-MGB,32.2596244812,32.1949043274,0.0915281177,,,,0,0.02,1,3,30,,N,N,N
A6,NP_T2_R2_Ss_S1-11,C,UNKNOWN,VIC,NFQ-MGB,26.5509357452,26.5664138794,0.0218907353,,,,0,0.02,1,3,25,,N,N,N
A6,NP_T2_R2_Ss_S1-11,D,UNKNOWN,FAM,NFQ-MGB,32.1301841736,32.1949043274,0.0915281177,,,,0,0.02,1,3,30,,N,N,N
A7,NP_T2_R2_Ss_S5-2,C,UNKNOWN,VIC,NFQ-MGB,33.4080200195,33.9965744019,0.8323416114,,,,0,0.02,1,3,32,,Y,N,N
A7,NP_T2_R2_Ss_S5-2,D,UNKNOWN,FAM,NFQ-MGB,25.8327579498,25.9944572449,0.2286786884,,,,0,0.02,1,3,24,,Y,N,N
A8,NP_T2_R2_Ss_S5-2,C,UNKNOWN,VIC,NFQ-MGB,34.5851287842,33.9965744019,0.8323416114,,,,0,0.02,1,3,33,,Y,N,N
