Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\Nutrients_Ssid_Plate30.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-04 13:39:22 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T3_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7619304657,22.7529163361,1.426961422,,,,0,0.02,1,3,22,,Y,N,N
A2,C_T3_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8910121918,21.5763874054,1.8591601849,,,,0,0.02,1,3,21,,Y,N,N
A3,C_T3_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,24.1695518494,24.2474555969,0.1101725399,,,,0,0.02,1,3,22,,N,N,N
A4,C_T3_R1_Ss_S2-22,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4545631409,23.2739982605,0.2553559542,,,,0,0.02,1,3,21,,N,N,N
A5,C_T3_R1_Ss_S3-18,Ssid,UNKNOWN,FAM,NFQ-MGB,26.8422241211,26.5080604553,0.4725787938,,,,0,0.02,1,3,24,,N,N,N
A6,C_T3_R1_Ss_S3-29,Ssid,UNKNOWN,FAM,NFQ-MGB,26.7421188354,26.1829185486,0.7908299565,,,,0,0.02,1,3,25,,Y,N,N
A7,C_T3_R1_Ss_S4-8,Ssid,UNKNOWN,FAM,NFQ-MGB,26.5675067902,25.4487419128,1.5821738243,,,,0,0.02,1,3,24,,Y,N,N
A8,C_T3_R1_Ss_S4-12,Ssid,UNKNOWN,FAM,NFQ-MGB,25.033788681,24.5581817627,0.6726097465,,,,0,0.02,1,3,23,,Y,N,N
A9,C_T3_R1_Ss_S5-9,Ssid,UNKNOWN,FAM,NFQ-MGB,28.180273056,27.4307556152,1.0599790812,,,,0,0.02,1,3,26,,Y,N,N
A10,C_T3_R1_Ss_S5-24,Ssid,UNKNOWN,FAM,NFQ-MGB,27.1490898132,26.3605880737,1.11510849,,,,0,0.02,1,3,25,,Y,N,N
A11,C_T3_R1_Ss_S6-5,Ssid,UNKNOWN,FAM,NFQ-MGB,26.3468704224,26.095287323,0.3557935655,,,,0,0.02,1,3,24,,N,N,N
A12,C_T3_R1_Ss_S6-20,Ssid,UNKNOWN,FAM,NFQ-MGB,29.9280757904,28.5133056641,2.0007884502,,,,0,0.02,1,3,28,,Y,N,N
B1,C_T3_R1_Ss_S1-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7439022064,22.7529163361,1.426961422,,,,0,0.02,1,3,19,,Y,N,N
B2,C_T3_R1_Ss_S1-26,Ssid,UNKNOWN,FAM,NFQ-MGB,20.261762619,21.5763874054,1.8591601849,,,,0,0.02,1,3,18,,Y,N,N
B3,C_T3_R1_Ss_S2-11,Ssid,UNKNOWN,FAM,NFQ-MGB,24.3253593445,24.2474555969,0.1101725399,,,,0,0.02,1,3,22,,N,N,N
B4,C_T3_R1_Ss_S2-22,Ssid,UNKNOWN,FAM,NFQ-MGB,23.0934352875,23.2739982605,0.2553559542,,,,0,0.02,1,3,21,,N,N,N
