Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_SS_Plate30.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-04 15:25:46 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NPF_T3_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0177593231,21.2431983948,1.0953959227,,,,0,0.02,1,3,20,,Y,N,N
A2,NPF_T3_R1_Ss_S1-18,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7223739624,20.4052772522,0.4484424591,,,,0,0.02,1,3,18,,N,N,N
A3,NPF_T3_R1_Ss_S2-28,Ssid,UNKNOWN,FAM,NFQ-MGB,23.1843852997,23.1816978455,0.0038019828,,,,0,0.02,1,3,21,,N,N,N
A4,NPF_T3_R1_Ss_S2-30,Ssid,UNKNOWN,FAM,NFQ-MGB,21.8306255341,22.3868732452,0.7866530418,,,,0,0.02,1,3,19,,Y,N,N
A5,NPF_T3_R1_Ss_S3-1,Ssid,UNKNOWN,FAM,NFQ-MGB,23.9415569305,23.6918945313,0.3530759513,,,,0,0.02,1,3,22,,N,N,N
A6,NPF_T3_R1_Ss_S3-28,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7793636322,23.6018638611,0.2510225773,,,,0,0.02,1,3,22,,N,N,N
A7,NPF_T3_R1_Ss_S4-10,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6243228912,22.532743454,0.1295128763,,,,0,0.02,1,3,20,,N,N,N
A8,NPF_T3_R1_Ss_S4-17,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7271499634,21.6127624512,0.1617670208,,,,0,0.02,1,3,19,,N,N,N
A9,NPF_T3_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4662055969,22.3455982208,0.1705645919,,,,0,0.02,1,3,20,,N,N,N
A10,NPF_T3_R1_Ss_S5-27,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5856552124,22.5543041229,0.0443371348,,,,0,0.02,1,3,20,,N,N,N
A11,NPF_T3_R1_Ss_S6-6,Ssid,UNKNOWN,FAM,NFQ-MGB,23.1706924438,23.0541114807,0.1648690253,,,,0,0.02,1,3,21,,N,N,N
A12,NPF_T3_R1_Ss_S6-13,Ssid,UNKNOWN,FAM,NFQ-MGB,26.4449768066,25.3187484741,1.5927259922,,,,0,0.02,1,3,24,,Y,N,N
B1,NPF_T3_R1_Ss_S1-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4686355591,21.2431983948,1.0953959227,,,,0,0.02,1,3,18,,Y,N,N
B2,NPF_T3_R1_Ss_S1-18,Ssid,UNKNOWN,FAM,NFQ-MGB,20.088180542,20.4052772522,0.4484424591,,,,0,0.02,1,3,18,,N,N,N
