Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_SS_Plate33.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-11 13:34:52 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,N_T3_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,24.0663280487,23.0558662415,1.429007411,,,,0,0.02,1,3,22,,Y,N,N
A2,N_T3_R1_Ss_S1-25,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7208633423,23.3131484985,0.5765958428,,,,0,0.02,1,3,22,,Y,N,N
A3,N_T3_R1_Ss_S2-21,Ssid,UNKNOWN,FAM,NFQ-MGB,24.7008628845,25.1386375427,0.6191082001,,,,0,0.02,1,3,23,,Y,N,N
A4,N_T3_R1_Ss_S3-10,Ssid,UNKNOWN,FAM,NFQ-MGB,27.9765453339,27.6511936188,0.4601168036,,,,0,0.02,1,3,26,,N,N,N
A5,N_T3_R1_Ss_S2-24,Ssid,UNKNOWN,FAM,NFQ-MGB,26.6186466217,25.9007759094,1.0152211189,,,,0,0.02,1,3,25,,Y,N,N
A6,N_T3_R1_Ss_S3-8,Ssid,UNKNOWN,FAM,NFQ-MGB,25.7987480164,25.5005455017,0.4217233956,,,,0,0.02,1,3,24,,N,N,N
A7,N_T3_R1_Ss_S4-19,Ssid,UNKNOWN,FAM,NFQ-MGB,24.4156150818,23.7681694031,0.9156264663,,,,0,0.02,1,3,22,,Y,N,N
A8,N_T3_R1_Ss_S4-29,Ssid,UNKNOWN,FAM,NFQ-MGB,25.2382583618,24.474319458,1.0803713799,,,,0,0.02,1,3,24,,Y,N,N
A9,N_T3_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,28.152803421,28.2898254395,0.1937770545,,,,0,0.02,1,3,26,,N,N,N
A10,N_T3_R1_Ss_S5-11,Ssid,UNKNOWN,FAM,NFQ-MGB,28.2770042419,28.0034751892,0.3868284822,,,,0,0.02,1,3,26,,N,N,N
A11,N_T3_R1_Ss_S6-24,Ssid,UNKNOWN,FAM,NFQ-MGB,29.4100914001,28.5507621765,1.2152763605,,,,0,0.02,1,3,27,,Y,N,N
A12,N_T3_R1_Ss_S6-28,Ssid,UNKNOWN,FAM,NFQ-MGB,29.7688388824,28.7694091797,1.4134083986,,,,0,0.02,1,3,28,,Y,N,N
B1,N_T3_R1_Ss_S1-17,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0454063416,23.0558662415,1.429007411,,,,0,0.02,1,3,20,,Y,N,N
B2,N_T3_R1_Ss_S1-25,Ssid,UNKNOWN,FAM,NFQ-MGB,22.9054336548,23.3131484985,0.5765958428,,,,0,0.02,1,3,21,,Y,N,N
B3,N_T3_R1_Ss_S2-21,Ssid,UNKNOWN,FAM,NFQ-MGB,25.5764141083,25.1386375427,0.6191082001,,,,0,0.02,1,3,23,,Y,N,N
B4,N_T3_R1_Ss_S3-10,Ssid,UNKNOWN,FAM,NFQ-MGB,27.3258419037,27.6511936188,0.4601168036,,,,0,0.02,1,3,25,,N,N,N
B5,N_T3_R1_Ss_S2-24,Ssid,UNKNOWN,FAM,NFQ-MGB,25.1829071045,25.9007759094,1.0152211189,,,,0,0.02,1,3,23,,Y,N,N
B6,N_T3_R1_Ss_S3-8,Ssid,UNKNOWN,FAM,NFQ-MGB,25.2023410797,25.5005455017,0.4217233956,,,,0,0.02,1,3,23,,N,N,N
B7,N_T3_R1_Ss_S4-19,Ssid,UNKNOWN,FAM,NFQ-MGB,23.1207237244,23.7681694031,0.9156264663,,,,0,0.02,1,3,21,,Y,N,N
B8,N_T3_R1_Ss_S4-29,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7103824615,24.474319458,1.0803713799,,,,0,0.02,1,3,22,,Y,N,N
B9,N_T3_R1_Ss_S5-7,Ssid,UNKNOWN,FAM,NFQ-MGB,28.4268455505,28.2898254395,0.1937770545,,,,0,0.02,1,3,26,,N,N,N
B10,N_T3_R1_Ss_S5-11,Ssid,UNKNOWN,FAM,NFQ-MGB,27.7299461365,28.0034751892,0.3868284822,,,,0,0.02,1,3,26,,N,N,N
B11,N_T3_R1_Ss_S6-24,Ssid,UNKNOWN,FAM,NFQ-MGB,27.6914310455,28.5507621765,1.2152763605,,,,0,0.02,1,3,26,,Y,N,N
B12,N_T3_R1_Ss_S6-28,Ssid,UNKNOWN,FAM,NFQ-MGB,27.7699775696,28.7694091797,1.4134083986,,,,0,0.02,1,3,26,,Y,N,N
C1,N_T3_R1_Ss_S1-17,C,UNKNOWN,VIC,NFQ-MGB,28.6356391907,28.7275848389,0.130032137,,,,0,0.02,1,3,27,,N,N,N
C1,N_T3_R1_Ss_S1-17,D,UNKNOWN,FAM,NFQ-MGB,28.7089500427,28.4313411713,0.3925982416,,,,0,0.02,1,3,26,,N,N,N
C2,N_T3_R1_Ss_S1-25,C,UNKNOWN,VIC,NFQ-MGB,27.5218677521,27.6824645996,0.2271195948,,,,0,0.02,1,3,26,,N,Y,Y
C2,N_T3_R1_Ss_S1-25,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,N_T3_R1_Ss_S2-21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,N_T3_R1_Ss_S2-21,D,UNKNOWN,FAM,NFQ-MGB,27.6369476318,27.427898407,0.2956388891,,,,0,0.02,1,3,26,,N,Y,Y
C4,N_T3_R1_Ss_S3-10,C,UNKNOWN,VIC,NFQ-MGB,28.1558666229,28.1577320099,0.0026380555,,,,0,0.02,1,3,26,,N,N,N
C4,N_T3_R1_Ss_S3-10,D,UNKNOWN,FAM,NFQ-MGB,29.9469814301,29.9671192169,0.0284791309,,,,0,0.02,1,3,28,,N,N,N
C5,N_T3_R1_Ss_S2-24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.3666801453,,,,,0,0.02,1,3,39,,N,Y,Y
C5,N_T3_R1_Ss_S2-24,D,UNKNOWN,FAM,NFQ-MGB,26.5279750824,26.5433311462,0.021716753,,,,0,0.02,1,3,25,,N,Y,Y
C6,N_T3_R1_Ss_S3-8,C,UNKNOWN,VIC,NFQ-MGB,26.8296756744,26.844997406,0.0216682013,,,,0,0.02,1,3,25,,Y,N,N
