Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate34.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-11 15:16:05 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,NP_T0_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,23.6627540588,22.0615711212,2.2644145489,,,,0,0.02,1,3,21,,Y,N,N
A2,NP_T0_R1_Ss_S1-24,Ssid,UNKNOWN,FAM,NFQ-MGB,29.354549408,28.7619152069,0.838111341,,,,0,0.02,1,3,27,,Y,N,N
A3,NP_T0_R1_Ss_S2-3,Ssid,UNKNOWN,FAM,NFQ-MGB,26.0427436829,25.7214374542,0.454395622,,,,0,0.02,1,3,24,,N,N,N
A4,NP_T0_R1_Ss_S2-9,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2186717987,20.9332180023,0.4036926329,,,,0,0.02,1,3,19,,N,N,N
A5,NP_T0_R1_Ss_S3-21,Ssid,UNKNOWN,FAM,NFQ-MGB,21.4940929413,21.3356971741,0.2240067869,,,,0,0.02,1,3,19,,N,N,N
A6,NP_T0_R1_Ss_S3-26,Ssid,UNKNOWN,FAM,NFQ-MGB,24.1524219513,23.8669319153,0.403742522,,,,0,0.02,1,3,22,,N,N,N
A7,NP_T0_R1_Ss_S4-1,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5979747772,21.6671066284,0.097767204,,,,0,0.02,1,3,19,,N,N,N
A8,NP_T0_R1_Ss_S4-2,Ssid,UNKNOWN,FAM,NFQ-MGB,21.550321579,21.2144050598,0.4750563502,,,,0,0.02,1,3,19,,N,N,N
A9,NP_T0_R1_Ss_S5-1,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4048194885,22.1393508911,1.7896442413,,,,0,0.02,1,3,22,,Y,N,N
A10,NP_T0_R1_Ss_S5-12,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7705841064,21.2823638916,0.6904489994,,,,0,0.02,1,3,20,,Y,N,N
A11,NP_T0_R1_Ss_S6-3,Ssid,UNKNOWN,FAM,NFQ-MGB,22.4460029602,22.1081428528,0.4778049886,,,,0,0.02,1,3,20,,N,N,N
A12,NP_T0_R1_Ss_S6-18,Ssid,UNKNOWN,FAM,NFQ-MGB,23.7466945648,22.9053459167,1.1898466349,,,,0,0.02,1,3,21,,Y,N,N
B1,NP_T0_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4603881836,22.0615711212,2.2644145489,,,,0,0.02,1,3,18,,Y,N,N
B2,NP_T0_R1_Ss_S1-24,Ssid,UNKNOWN,FAM,NFQ-MGB,28.1692810059,28.7619152069,0.838111341,,,,0,0.02,1,3,26,,Y,N,N
B3,NP_T0_R1_Ss_S2-3,Ssid,UNKNOWN,FAM,NFQ-MGB,25.4001312256,25.7214374542,0.454395622,,,,0,0.02,1,3,23,,N,N,N
B4,NP_T0_R1_Ss_S2-9,Ssid,UNKNOWN,FAM,NFQ-MGB,20.6477642059,20.9332180023,0.4036926329,,,,0,0.02,1,3,18,,N,N,N
B5,NP_T0_R1_Ss_S3-21,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1772994995,21.3356971741,0.2240067869,,,,0,0.02,1,3,19,,N,N,N
B6,NP_T0_R1_Ss_S3-26,Ssid,UNKNOWN,FAM,NFQ-MGB,23.5814437866,23.8669319153,0.403742522,,,,0,0.02,1,3,21,,N,N,N
B7,NP_T0_R1_Ss_S4-1,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7362384796,21.6671066284,0.097767204,,,,0,0.02,1,3,20,,N,N,N
B8,NP_T0_R1_Ss_S4-2,Ssid,UNKNOWN,FAM,NFQ-MGB,20.878490448,21.2144050598,0.4750563502,,,,0,0.02,1,3,18,,N,N,N
B9,NP_T0_R1_Ss_S5-1,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8738803864,22.1393508911,1.7896442413,,,,0,0.02,1,3,19,,Y,N,N
B10,NP_T0_R1_Ss_S5-12,Ssid,UNKNOWN,FAM,NFQ-MGB,20.7941417694,21.2823638916,0.6904489994,,,,0,0.02,1,3,19,,Y,N,N
B11,NP_T0_R1_Ss_S6-3,Ssid,UNKNOWN,FAM,NFQ-MGB,21.7702846527,22.1081428528,0.4778049886,,,,0,0.02,1,3,19,,N,N,N
B12,NP_T0_R1_Ss_S6-18,Ssid,UNKNOWN,FAM,NFQ-MGB,22.0639972687,22.9053459167,1.1898466349,,,,0,0.02,1,3,20,,Y,N,N
C1,NP_T0_R1_Ss_S1-15,C,UNKNOWN,VIC,NFQ-MGB,25.590385437,25.4172744751,0.2448145151,,,,0,0.02,1,3,24,,Y,N,N
C1,NP_T0_R1_Ss_S1-15,D,UNKNOWN,FAM,NFQ-MGB,28.9535675049,28.4048500061,0.7760024071,,,,0,0.02,1,3,27,,Y,N,N
C2,NP_T0_R1_Ss_S1-24,C,UNKNOWN,VIC,NFQ-MGB,28.0716323853,28.0328292847,0.0548772216,,,,0,0.02,1,3,26,,N,Y,Y
C2,NP_T0_R1_Ss_S1-24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,NP_T0_R1_Ss_S2-3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C3,NP_T0_R1_Ss_S2-3,D,UNKNOWN,FAM,NFQ-MGB,25.751247406,25.7921333313,0.0578214303,,,,0,0.02,1,3,24,,N,Y,Y
C4,NP_T0_R1_Ss_S2-9,C,UNKNOWN,VIC,NFQ-MGB,35.0057411194,35.0057411194,,,,,0,0.02,1,3,34,,N,N,N
C4,NP_T0_R1_Ss_S2-9,D,UNKNOWN,FAM,NFQ-MGB,24.1353569031,24.2424564362,0.1514616162,,,,0,0.02,1,3,22,,N,N,N
C5,NP_T0_R1_Ss_S3-21,C,UNKNOWN,VIC,NFQ-MGB,28.3644924164,28.1401348114,0.317289561,,,,0,0.02,1,3,27,,N,N,N
C5,NP_T0_R1_Ss_S3-21,D,UNKNOWN,FAM,NFQ-MGB,23.7123298645,23.721912384,0.0135503802,,,,0,0.02,1,3,22,,N,N,N
C6,NP_T0_R1_Ss_S3-26,C,UNKNOWN,VIC,NFQ-MGB,32.7550544739,32.1879348755,0.802030921,,,,0,0.02,1,3,32,,Y,N,N
C6,NP_T0_R1_Ss_S3-26,D,UNKNOWN,FAM,NFQ-MGB,24.3743553162,24.4963951111,0.1725889891,,,,0,0.02,1,3,22,,Y,N,N
C7,NP_T0_R1_Ss_S4-1,C,UNKNOWN,VIC,NFQ-MGB,24.637216568,24.7397537231,0.1450080872,,,,0,0.02,1,3,23,,N,N,N
C7,NP_T0_R1_Ss_S4-1,D,UNKNOWN,FAM,NFQ-MGB,25.8649139404,26.0176887512,0.2160548568,,,,0,0.02,1,3,24,,N,N,N
C8,NP_T0_R1_Ss_S4-2,C,UNKNOWN,VIC,NFQ-MGB,25.2129936218,25.1575965881,0.0783445835,,,,0,0.02,1,3,24,,N,N,N
C8,NP_T0_R1_Ss_S4-2,D,UNKNOWN,FAM,NFQ-MGB,25.013792038,25.115688324,0.1441044509,,,,0,0.02,1,3,23,,N,N,N
C9,NP_T0_R1_Ss_S5-1,C,UNKNOWN,VIC,NFQ-MGB,31.9802875519,31.913356781,0.0946544036,,,,0,0.02,1,3,31,,N,N,N
C9,NP_T0_R1_Ss_S5-1,D,UNKNOWN,FAM,NFQ-MGB,23.9780368805,23.9889564514,0.0154439537,,,,0,0.02,1,3,22,,N,N,N
C10,NP_T0_R1_Ss_S5-12,C,UNKNOWN,VIC,NFQ-MGB,34.5551490784,35.8615226746,1.8474912643,,,,0,0.02,1,3,33,,Y,N,N
