Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate39.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-18 15:54:17 PM EST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL
A1,CO2_T3_R1_Ss_S1-21,C,UNKNOWN,VIC,NFQ-MGB,27.4903182983,27.1693534851,0.4539127946,,,,0,0.02,1,3,25,,N,N,N,N,N
A1,CO2_T3_R1_Ss_S1-21,D,UNKNOWN,FAM,NFQ-MGB,26.2862930298,26.069393158,0.3067413867,,,,1,0.02,1,3,24,,N,N,N,N,N
A2,CO2_T3_R1_Ss_S1-29,C,UNKNOWN,VIC,NFQ-MGB,27.8758869171,27.8290863037,0.0661874115,,,,0,0.02,1,3,26,,N,N,N,N,N
A2,CO2_T3_R1_Ss_S1-29,D,UNKNOWN,FAM,NFQ-MGB,25.605173111,25.5626716614,0.0601047762,,,,1,0.02,1,3,24,,N,N,N,N,N
A3,CO2_T3_R1_Ss_S2-6,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
A3,CO2_T3_R1_Ss_S2-6,D,UNKNOWN,FAM,NFQ-MGB,24.7908802032,24.6816940308,0.1544139087,,,,1,0.02,1,3,23,,N,N,N,N,Y
A4,CO2_T3_R1_Ss_S2-19,C,UNKNOWN,VIC,NFQ-MGB,32.4748764038,33.230884552,1.0691570044,,,,0,0.02,1,3,28,,N,Y,N,N,N
A4,CO2_T3_R1_Ss_S2-19,D,UNKNOWN,FAM,NFQ-MGB,24.954668045,24.990852356,0.0511709936,,,,1,0.02,1,3,23,,N,Y,N,N,N
A5,CO2_T3_R1_Ss_S3-22,C,UNKNOWN,VIC,NFQ-MGB,27.2474422455,27.4684524536,0.312556982,,,,0,0.02,1,3,25,,N,N,N,N,N
A5,CO2_T3_R1_Ss_S3-22,D,UNKNOWN,FAM,NFQ-MGB,26.7048511505,26.7640075684,0.0836598054,,,,1,0.02,1,3,25,,N,N,N,N,N
