Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\ER\ER_Ofav_Plate15.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-19 19:21:16 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A7,CO2_T3_R2_Ss_S5-26,C,UNKNOWN,VIC,NFQ-MGB,30.5698928833,31.0642852783,0.6991764307,,,,1,0.02,1,3,29,,Y,N,N
A7,CO2_T3_R2_Ss_S5-26,D,UNKNOWN,FAM,NFQ-MGB,25.1704978943,25.4153022766,0.3462056816,,,,1,0.02,1,3,23,,Y,N,N
A8,CO2_T3_R2_Ss_S5-26,C,UNKNOWN,VIC,NFQ-MGB,31.5586776733,31.0642852783,0.6991764307,,,,1,0.02,1,3,29,,Y,N,N
A8,CO2_T3_R2_Ss_S5-26,D,UNKNOWN,FAM,NFQ-MGB,25.6601066589,25.4153022766,0.3462056816,,,,1,0.02,1,3,24,,Y,N,N
A9,CO2_T3_R2_Ss_S5-26,Ssid,UNKNOWN,FAM,NFQ-MGB,24.6381034851,24.8255634308,0.2651084065,,,,1,0.02,1,3,22,,N,N,N
A10,CO2_T3_R2_Ss_S5-26,Ssid,UNKNOWN,FAM,NFQ-MGB,25.0130233765,24.8255634308,0.2651084065,,,,1,0.02,1,3,23,,N,N,N
A11,CO2_T3_R2_Ss_S5-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A12,CO2_T3_R2_Ss_S5-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B7,CO2_T3_R2_Ss_S6-2,C,UNKNOWN,VIC,NFQ-MGB,32.9497528076,33.3882484436,0.6201264858,,,,1,0.02,1,3,31,,Y,N,N
B7,CO2_T3_R2_Ss_S6-2,D,UNKNOWN,FAM,NFQ-MGB,25.4903411865,25.5669879913,0.1083949506,,,,1,0.02,1,3,24,,Y,N,N
B8,CO2_T3_R2_Ss_S6-2,C,UNKNOWN,VIC,NFQ-MGB,33.8267440796,33.3882484436,0.6201264858,,,,1,0.02,1,3,33,,Y,N,N
B8,CO2_T3_R2_Ss_S6-2,D,UNKNOWN,FAM,NFQ-MGB,25.6436347961,25.5669879913,0.1083949506,,,,1,0.02,1,3,24,,Y,N,N
B9,CO2_T3_R2_Ss_S6-2,Ssid,UNKNOWN,FAM,NFQ-MGB,23.6092395782,23.7705459595,0.228120327,,,,1,0.02,1,3,22,,N,N,N
B10,CO2_T3_R2_Ss_S6-2,Ssid,UNKNOWN,FAM,NFQ-MGB,23.9318504333,23.7705459595,0.228120327,,,,1,0.02,1,3,22,,N,N,N
B11,CO2_T3_R2_Ss_S6-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B12,CO2_T3_R2_Ss_S6-2,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C7,CO2_T3_R2_Ss_S6-22,C,UNKNOWN,VIC,NFQ-MGB,32.884262085,31.9452705383,1.3279331923,,,,1,0.02,1,3,31,,Y,N,N
C7,CO2_T3_R2_Ss_S6-22,D,UNKNOWN,FAM,NFQ-MGB,25.2783508301,25.2549972534,0.0330282934,,,,1,0.02,1,3,23,,Y,N,N
C8,CO2_T3_R2_Ss_S6-22,C,UNKNOWN,VIC,NFQ-MGB,31.006280899,31.9452705383,1.3279331923,,,,1,0.02,1,3,29,,Y,N,N
C8,CO2_T3_R2_Ss_S6-22,D,UNKNOWN,FAM,NFQ-MGB,25.2316417694,25.2549972534,0.0330282934,,,,1,0.02,1,3,23,,Y,N,N
C9,CO2_T3_R2_Ss_S6-22,Ssid,UNKNOWN,FAM,NFQ-MGB,24.1121635437,24.3065700531,0.2749323249,,,,1,0.02,1,3,22,,N,N,N
C10,CO2_T3_R2_Ss_S6-22,Ssid,UNKNOWN,FAM,NFQ-MGB,24.5009765625,24.3065700531,0.2749323249,,,,1,0.02,1,3,22,,N,N,N
C11,CO2_T3_R2_Ss_S6-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
C12,CO2_T3_R2_Ss_S6-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D7,Fe_T0_R1_Ss_S2-16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
D7,Fe_T0_R1_Ss_S2-16,D,UNKNOWN,FAM,NFQ-MGB,24.9676570892,25.0598831177,0.130428642,,,,1,0.02,1,3,23,,N,Y,Y
D8,Fe_T0_R1_Ss_S2-16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
D8,Fe_T0_R1_Ss_S2-16,D,UNKNOWN,FAM,NFQ-MGB,25.1521110535,25.0598831177,0.130428642,,,,1,0.02,1,3,23,,N,Y,Y
D9,Fe_T0_R1_Ss_S2-16,Ssid,UNKNOWN,FAM,NFQ-MGB,21.37890625,21.4999141693,0.1711310446,,,,1,0.02,1,3,19,,N,N,N
D10,Fe_T0_R1_Ss_S2-16,Ssid,UNKNOWN,FAM,NFQ-MGB,21.6209220886,21.4999141693,0.1711310446,,,,1,0.02,1,3,19,,N,N,N
D11,Fe_T0_R1_Ss_S2-16,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D12,Fe_T0_R1_Ss_S2-16,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
E7,Fe_T0_R1_Ss_S3-6,C,UNKNOWN,VIC,NFQ-MGB,28.5076961517,28.5420360565,0.0485639609,,,,1,0.02,1,3,27,,N,N,N
E7,Fe_T0_R1_Ss_S3-6,D,UNKNOWN,FAM,NFQ-MGB,25.9840869904,25.8688335419,0.1629929841,,,,1,0.02,1,3,24,,N,N,N
E8,Fe_T0_R1_Ss_S3-6,C,UNKNOWN,VIC,NFQ-MGB,28.5763759613,28.5420360565,0.0485639609,,,,1,0.02,1,3,27,,N,N,N
E8,Fe_T0_R1_Ss_S3-6,D,UNKNOWN,FAM,NFQ-MGB,25.7535800934,25.8688335419,0.1629929841,,,,1,0.02,1,3,24,,N,N,N
E9,Fe_T0_R1_Ss_S3-6,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8088722229,22.7653179169,0.0615950897,,,,1,0.02,1,3,20,,N,N,N
E10,Fe_T0_R1_Ss_S3-6,Ssid,UNKNOWN,FAM,NFQ-MGB,22.7217636108,22.7653179169,0.0615950897,,,,1,0.02,1,3,20,,N,N,N
E11,Fe_T0_R1_Ss_S3-6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
E12,Fe_T0_R1_Ss_S3-6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
F7,Fe_T0_R1_Ss_S3-12,C,UNKNOWN,VIC,NFQ-MGB,30.958902359,31.0080757141,0.0695402771,,,,1,0.02,1,3,29,,N,N,N
F7,Fe_T0_R1_Ss_S3-12,D,UNKNOWN,FAM,NFQ-MGB,25.6728172302,25.7432403564,0.0995946899,,,,1,0.02,1,3,24,,N,N,N
F8,Fe_T0_R1_Ss_S3-12,C,UNKNOWN,VIC,NFQ-MGB,31.0572471619,31.0080757141,0.0695402771,,,,1,0.02,1,3,29,,N,N,N
F8,Fe_T0_R1_Ss_S3-12,D,UNKNOWN,FAM,NFQ-MGB,25.81366539,25.7432403564,0.0995946899,,,,1,0.02,1,3,24,,N,N,N
F9,Fe_T0_R1_Ss_S3-12,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2943153381,22.3094558716,0.0214119479,,,,1,0.02,1,3,20,,N,N,N
F10,Fe_T0_R1_Ss_S3-12,Ssid,UNKNOWN,FAM,NFQ-MGB,22.324596405,22.3094558716,0.0214119479,,,,1,0.02,1,3,20,,N,N,N
F11,Fe_T0_R1_Ss_S3-12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
F12,Fe_T0_R1_Ss_S3-12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
G7,NP_T0_R1_Ss_S1-15,C,UNKNOWN,VIC,NFQ-MGB,24.584936142,24.6646938324,0.1127944067,,,,1,0.02,1,3,23,,N,N,N
G7,NP_T0_R1_Ss_S1-15,D,UNKNOWN,FAM,NFQ-MGB,27.8269443512,27.8369865417,0.0142004536,,,,1,0.02,1,3,26,,N,N,N
G8,NP_T0_R1_Ss_S1-15,C,UNKNOWN,VIC,NFQ-MGB,24.7444515228,24.6646938324,0.1127944067,,,,1,0.02,1,3,23,,N,N,N
G8,NP_T0_R1_Ss_S1-15,D,UNKNOWN,FAM,NFQ-MGB,27.847026825,27.8369865417,0.0142004536,,,,1,0.02,1,3,26,,N,N,N
G9,NP_T0_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,18.7500762939,18.7504806519,0.0005731971,,,,1,0.02,1,3,16,,N,N,N
G10,NP_T0_R1_Ss_S1-15,Ssid,UNKNOWN,FAM,NFQ-MGB,18.7508869171,18.7504806519,0.0005731971,,,,1,0.02,1,3,16,,N,N,N
G11,NP_T0_R1_Ss_S1-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G12,NP_T0_R1_Ss_S1-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H7,NPF_T0_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,32.7976570129,34.0361785889,1.7515339851,,,,1,0.02,1,3,32,,Y,N,N
H7,NPF_T0_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,24.5769958496,24.5822696686,0.0074583064,,,,1,0.02,1,3,23,,Y,N,N
H8,NPF_T0_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,35.2747001648,34.0361785889,1.7515339851,,,,1,0.02,1,3,34,,Y,N,N
H8,NPF_T0_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,24.5875434875,24.5822696686,0.0074583064,,,,1,0.02,1,3,23,,Y,N,N
H9,NPF_T0_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.8153953552,21.0890464783,0.3870024681,,,,1,0.02,1,3,18,,N,N,N
H10,NPF_T0_R1_Ss_S5-5,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3626995087,21.0890464783,0.3870024681,,,,1,0.02,1,3,18,,N,N,N
H11,NPF_T0_R1_Ss_S5-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H12,NPF_T0_R1_Ss_S5-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
