Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate41.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-23 15:26:01 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,D_T1_R1_Ss_S1-4,C,UNKNOWN,VIC,NFQ-MGB,28.3725147247,28.41954422,0.0665097535,,,,0,0.02,1,3,27,,N,N,N
A1,D_T1_R1_Ss_S1-4,D,UNKNOWN,FAM,NFQ-MGB,26.5454483032,26.4485778809,0.1369941235,,,,0,0.02,1,3,25,,N,N,N
A2,D_T1_R1_Ss_S1-19,C,UNKNOWN,VIC,NFQ-MGB,33.9287757874,33.9354553223,0.0094462885,,,,0,0.02,1,3,33,,N,N,N
A2,D_T1_R1_Ss_S1-19,D,UNKNOWN,FAM,NFQ-MGB,26.1385688782,25.8532466888,0.4035065174,,,,0,0.02,1,3,24,,N,N,N
A3,D_T1_R1_Ss_S2-20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,D_T1_R1_Ss_S2-20,D,UNKNOWN,FAM,NFQ-MGB,24.2199897766,24.2694778442,0.069985345,,,,0,0.02,1,3,22,,N,N,Y
A4,D_T1_R1_Ss_S2-29,C,UNKNOWN,VIC,NFQ-MGB,31.4434070587,31.4434070587,,,,,0,0.02,1,3,27,,N,N,N
A4,D_T1_R1_Ss_S2-29,D,UNKNOWN,FAM,NFQ-MGB,24.2046489716,24.4614181519,0.3631251156,,,,0,0.02,1,3,22,,N,N,N
A5,D_T1_R1_Ss_S3-3,C,UNKNOWN,VIC,NFQ-MGB,26.9528694153,26.8493671417,0.146374315,,,,0,0.02,1,3,25,,N,N,N
A5,D_T1_R1_Ss_S3-3,D,UNKNOWN,FAM,NFQ-MGB,24.3789653778,24.4317207336,0.074608691,,,,0,0.02,1,3,22,,N,N,N
A6,D_T1_R1_Ss_S3-19,C,UNKNOWN,VIC,NFQ-MGB,29.2292747498,29.1069774628,0.1729544848,,,,0,0.02,1,3,28,,N,N,N
A6,D_T1_R1_Ss_S3-19,D,UNKNOWN,FAM,NFQ-MGB,25.3351688385,25.3874397278,0.0739235505,,,,0,0.02,1,3,23,,N,N,N
A7,D_T1_R1_Ss_S4-21,C,UNKNOWN,VIC,NFQ-MGB,27.8508262634,27.6701011658,0.2555825412,,,,0,0.02,1,3,26,,N,N,N
A7,D_T1_R1_Ss_S4-21,D,UNKNOWN,FAM,NFQ-MGB,25.4116916656,25.3051223755,0.1507117301,,,,0,0.02,1,3,23,,N,N,N
A8,D_T1_R1_Ss_S4-30,C,UNKNOWN,VIC,NFQ-MGB,29.8957176208,29.6467018127,0.3521628678,,,,0,0.02,1,3,28,,N,N,N
A8,D_T1_R1_Ss_S4-30,D,UNKNOWN,FAM,NFQ-MGB,24.9439983368,24.6308670044,0.442833215,,,,0,0.02,1,3,23,,N,N,N
A9,D_T1_R1_Ss_S5-3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A9,D_T1_R1_Ss_S5-3,D,UNKNOWN,FAM,NFQ-MGB,25.9145908356,25.8100280762,0.1478727311,,,,0,0.02,1,3,24,,N,N,Y
A10,D_T1_R1_Ss_S5-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A10,D_T1_R1_Ss_S5-22,D,UNKNOWN,FAM,NFQ-MGB,25.0535774231,25.1289100647,0.1065364406,,,,0,0.02,1,3,23,,N,N,Y
A11,D_T1_R1_Ss_S6-9,C,UNKNOWN,VIC,NFQ-MGB,32.5943946838,32.5943946838,,,,,0,0.02,1,3,28,,N,N,N
A11,D_T1_R1_Ss_S6-9,D,UNKNOWN,FAM,NFQ-MGB,24.9529685974,24.9529685974,,,,,0,0.02,1,3,23,,N,N,N
A12,D_T1_R1_Ss_S6-14,C,UNKNOWN,VIC,NFQ-MGB,34.5133285522,34.0043029785,0.7198681831,,,,0,0.02,1,3,35,,Y,N,N
A12,D_T1_R1_Ss_S6-14,D,UNKNOWN,FAM,NFQ-MGB,25.7863807678,25.3250999451,0.6523495913,,,,0,0.02,1,3,24,,Y,N,N
B1,D_T1_R1_Ss_S1-4,C,UNKNOWN,VIC,NFQ-MGB,28.4665737152,28.41954422,0.0665097535,,,,0,0.02,1,3,27,,N,N,N
B1,D_T1_R1_Ss_S1-4,D,UNKNOWN,FAM,NFQ-MGB,26.3517093658,26.4485778809,0.1369941235,,,,0,0.02,1,3,24,,N,N,N
B2,D_T1_R1_Ss_S1-19,C,UNKNOWN,VIC,NFQ-MGB,33.9421348572,33.9354553223,0.0094462885,,,,0,0.02,1,3,33,,N,N,N
B2,D_T1_R1_Ss_S1-19,D,UNKNOWN,FAM,NFQ-MGB,25.5679244995,25.8532466888,0.4035065174,,,,0,0.02,1,3,23,,N,N,N
B3,D_T1_R1_Ss_S2-20,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
B3,D_T1_R1_Ss_S2-20,D,UNKNOWN,FAM,NFQ-MGB,24.3189640045,24.2694778442,0.069985345,,,,0,0.02,1,3,22,,N,Y,Y
B4,D_T1_R1_Ss_S2-29,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,31.4434070587,,,,,0,0.02,1,3,39,,N,Y,Y
B4,D_T1_R1_Ss_S2-29,D,UNKNOWN,FAM,NFQ-MGB,24.7181854248,24.4614181519,0.3631251156,,,,0,0.02,1,3,23,,N,Y,Y
