Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate43.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-23 18:53:12 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,CO2_T1_R1_Ss_S1-21,C,UNKNOWN,VIC,NFQ-MGB,28.4356384277,28.6060791016,0.2410381585,,,,0,0.02,1,3,27,,N,N,N
A1,CO2_T1_R1_Ss_S1-21,D,UNKNOWN,FAM,NFQ-MGB,26.780380249,26.6215305328,0.2246474177,,,,0,0.02,1,3,25,,N,N,N
A2,CO2_T1_R1_Ss_S1-29,C,UNKNOWN,VIC,NFQ-MGB,29.0218906403,29.1800346375,0.2236493826,,,,0,0.02,1,3,27,,N,N,N
A2,CO2_T1_R1_Ss_S1-29,D,UNKNOWN,FAM,NFQ-MGB,26.1403675079,26.1592521667,0.026705591,,,,0,0.02,1,3,24,,N,N,N
A3,CO2_T1_R1_Ss_S2-6,C,UNKNOWN,VIC,NFQ-MGB,32.2909088135,32.2909088135,,,,,0,0.02,1,3,28,,Y,N,N
A3,CO2_T1_R1_Ss_S2-6,D,UNKNOWN,FAM,NFQ-MGB,24.7637577057,25.177312851,0.5848553181,,,,0,0.02,1,3,23,,Y,N,N
A4,CO2_T1_R1_Ss_S2-19,C,UNKNOWN,VIC,NFQ-MGB,32.5470504761,32.6132736206,0.0936563686,,,,0,0.02,1,3,28,,Y,N,N
A4,CO2_T1_R1_Ss_S2-19,D,UNKNOWN,FAM,NFQ-MGB,25.8228034973,25.3466129303,0.6734351516,,,,0,0.02,1,3,24,,Y,N,N
A5,CO2_T1_R1_Ss_S3-22,C,UNKNOWN,VIC,NFQ-MGB,28.1449146271,28.0521831512,0.1311421096,,,,0,0.02,1,3,26,,N,N,N
A5,CO2_T1_R1_Ss_S3-22,D,UNKNOWN,FAM,NFQ-MGB,25.5592842102,25.4887771606,0.0997133777,,,,0,0.02,1,3,23,,N,N,N
A6,CO2_T1_R1_Ss_S3-31,C,UNKNOWN,VIC,NFQ-MGB,29.4868927002,29.4244270325,0.0883411467,,,,0,0.02,1,3,27,,N,N,N
A6,CO2_T1_R1_Ss_S3-31,D,UNKNOWN,FAM,NFQ-MGB,25.4797782898,25.4359493256,0.0619835146,,,,0,0.02,1,3,23,,N,N,N
A7,CO2_T1_R1_Ss_S4-5,C,UNKNOWN,VIC,NFQ-MGB,26.1773910522,25.6223449707,0.7849537134,,,,0,0.02,1,3,24,,Y,N,N
