Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate45.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-24 15:55:37 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,C_T3_R1_Ss_S6-20,C,UNKNOWN,VIC,NFQ-MGB,32.2164421082,32.5985794067,0.5404264331,,,,0,0.02,1,3,30,,Y,N,N
A1,C_T3_R1_Ss_S6-20,D,UNKNOWN,FAM,NFQ-MGB,26.8420562744,26.5027236938,0.4798900783,,,,1,0.02,1,3,25,,Y,N,N
A2,CO2_T3_R1_Ss_S5-4,C,UNKNOWN,VIC,NFQ-MGB,32.2443809509,32.5635986328,0.4514419734,,,,0,0.02,1,3,28,,N,N,N
A2,CO2_T3_R1_Ss_S5-4,D,UNKNOWN,FAM,NFQ-MGB,25.6282138824,25.8977851868,0.3812327385,,,,1,0.02,1,3,24,,N,N,N
A3,D_T3_R1_Ss_S5-22,C,UNKNOWN,VIC,NFQ-MGB,32.1541786194,32.1541786194,,,,,0,0.02,1,3,28,,N,N,N
A3,D_T3_R1_Ss_S5-22,D,UNKNOWN,FAM,NFQ-MGB,25.4457130432,25.5423240662,0.1366286129,,,,1,0.02,1,3,23,,N,N,N
A4,D_T3_R1_Ss_S6-14,C,UNKNOWN,VIC,NFQ-MGB,33.04271698,32.6412811279,0.5677187443,,,,0,0.02,1,3,33,,Y,N,N
A4,D_T3_R1_Ss_S6-14,D,UNKNOWN,FAM,NFQ-MGB,25.4972496033,25.3048210144,0.2721364796,,,,1,0.02,1,3,23,,Y,N,N
A5,NP_T3_R1_Ss_S2-9,C,UNKNOWN,VIC,NFQ-MGB,37.5000953674,37.5000953674,,,,,0,0.02,1,3,35,,Y,N,N
A5,NP_T3_R1_Ss_S2-9,D,UNKNOWN,FAM,NFQ-MGB,26.1239814758,25.7116680145,0.5830993056,,,,1,0.02,1,3,24,,Y,N,N
A6,NP_T3_R1_Ss_S6-3,C,UNKNOWN,VIC,NFQ-MGB,33.1310653687,32.6402511597,0.6941161156,,,,0,0.02,1,3,32,,Y,N,N
A6,NP_T3_R1_Ss_S6-3,D,UNKNOWN,FAM,NFQ-MGB,25.9305477142,25.7881088257,0.2014403641,,,,1,0.02,1,3,24,,Y,N,N
A7,NPF_T3_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,33.0581474304,33.9420585632,1.2500391006,,,,0,0.02,1,3,31,,Y,N,N
A7,NPF_T3_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,26.1422767639,25.9390106201,0.2874630988,,,,1,0.02,1,3,24,,Y,N,N
A8,NPF_T3_R2_Ss_S6-10,C,UNKNOWN,VIC,NFQ-MGB,31.6246013641,31.4837245941,0.1992298365,,,,0,0.02,1,3,27,,N,N,N
A8,NPF_T3_R2_Ss_S6-10,D,UNKNOWN,FAM,NFQ-MGB,24.6303062439,24.6091804504,0.0298777316,,,,1,0.02,1,3,23,,N,N,N
A9,N_T3_R2_Ss_S1-8,C,UNKNOWN,VIC,NFQ-MGB,27.7100639343,27.5042114258,0.2911180556,,,,0,0.02,1,3,26,,Y,N,N
A9,N_T3_R2_Ss_S1-8,D,UNKNOWN,FAM,NFQ-MGB,31.1487522125,30.6734294891,0.6722078323,,,,1,0.02,1,3,29,,Y,N,N
A10,Fe_T3_R2_Ss_S6-21,C,UNKNOWN,VIC,NFQ-MGB,34.2094192505,34.0494384766,0.2262469828,,,,0,0.02,1,3,34,,N,N,N
A10,Fe_T3_R2_Ss_S6-21,D,UNKNOWN,FAM,NFQ-MGB,26.2550411224,26.1912117004,0.0902697816,,,,1,0.02,1,3,24,,N,N,N
A11,CO2_T3_R2_Ss_S6-22,C,UNKNOWN,VIC,NFQ-MGB,31.9632225037,31.9632225037,,,,,0,0.02,1,3,29,,N,N,N
A11,CO2_T3_R2_Ss_S6-22,D,UNKNOWN,FAM,NFQ-MGB,25.3849430084,25.1046791077,0.3963516653,,,,1,0.02,1,3,23,,N,N,N
A12,C_T3_R1_Ss_S6-23,C,UNKNOWN,VIC,NFQ-MGB,34.8556976318,34.8556976318,,,,,0,0.02,1,3,35,,Y,N,N
A12,C_T3_R1_Ss_S6-23,D,UNKNOWN,FAM,NFQ-MGB,27.3565979004,26.8386707306,0.7324596047,,,,1,0.02,1,3,25,,Y,N,N
B1,C_T3_R1_Ss_S6-20,C,UNKNOWN,VIC,NFQ-MGB,32.98072052,32.5985794067,0.5404264331,,,,0,0.02,1,3,29,,Y,N,N
B1,C_T3_R1_Ss_S6-20,D,UNKNOWN,FAM,NFQ-MGB,26.1633892059,26.5027236938,0.4798900783,,,,1,0.02,1,3,25,,Y,N,N
B2,CO2_T3_R1_Ss_S5-4,C,UNKNOWN,VIC,NFQ-MGB,32.8828163147,32.5635986328,0.4514419734,,,,0,0.02,1,3,29,,N,N,N
B2,CO2_T3_R1_Ss_S5-4,D,UNKNOWN,FAM,NFQ-MGB,26.1673583984,25.8977851868,0.3812327385,,,,1,0.02,1,3,24,,N,N,N
B3,D_T3_R1_Ss_S5-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.1541786194,,,,,0,0.02,1,3,39,,N,N,Y
B3,D_T3_R1_Ss_S5-22,D,UNKNOWN,FAM,NFQ-MGB,25.6389350891,25.5423240662,0.1366286129,,,,1,0.02,1,3,23,,N,N,Y
B4,D_T3_R1_Ss_S6-14,C,UNKNOWN,VIC,NFQ-MGB,32.2398414612,32.6412811279,0.5677187443,,,,0,0.02,1,3,31,,Y,N,N
B4,D_T3_R1_Ss_S6-14,D,UNKNOWN,FAM,NFQ-MGB,25.1123905182,25.3048210144,0.2721364796,,,,1,0.02,1,3,23,,Y,N,N
B5,NP_T3_R1_Ss_S2-9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.5000953674,,,,,0,0.02,1,3,39,,Y,Y,Y
B5,NP_T3_R1_Ss_S2-9,D,UNKNOWN,FAM,NFQ-MGB,25.2993545532,25.7116680145,0.5830993056,,,,1,0.02,1,3,23,,Y,Y,Y
B6,NP_T3_R1_Ss_S6-3,C,UNKNOWN,VIC,NFQ-MGB,32.1494369507,32.6402511597,0.6941161156,,,,0,0.02,1,3,31,,Y,N,N
B6,NP_T3_R1_Ss_S6-3,D,UNKNOWN,FAM,NFQ-MGB,25.6456680298,25.7881088257,0.2014403641,,,,1,0.02,1,3,24,,Y,N,N
B7,NPF_T3_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,34.825969696,33.9420585632,1.2500391006,,,,0,0.02,1,3,34,,Y,N,N
