Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Pate46.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-24 17:32:53 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Fe_T1_R2_Ss_S1-12,C,UNKNOWN,VIC,NFQ-MGB,27.5823917389,27.341709137,0.3403765857,,,,0,0.02,1,3,26,,Y,N,N
A1,Fe_T1_R2_Ss_S1-12,D,UNKNOWN,FAM,NFQ-MGB,35.2363624573,34.2384796143,1.4112167358,,,,0,0.02,1,3,33,,Y,N,N
A2,Fe_T1_R2_Ss_S1-16,C,UNKNOWN,VIC,NFQ-MGB,28.8431091309,28.7974052429,0.0646350607,,,,0,0.02,1,3,27,,N,N,N
A2,Fe_T1_R2_Ss_S1-16,D,UNKNOWN,FAM,NFQ-MGB,26.9103488922,26.9303646088,0.0283064973,,,,0,0.02,1,3,25,,N,N,N
A3,Fe_T1_R2_Ss_S2-4,C,UNKNOWN,VIC,NFQ-MGB,33.6410598755,33.6410598755,,,,,0,0.02,1,3,29,,N,N,N
A3,Fe_T1_R2_Ss_S2-4,D,UNKNOWN,FAM,NFQ-MGB,25.8732089996,25.7859191895,0.1234477833,,,,0,0.02,1,3,24,,N,N,N
A4,Fe_T1_R2_Ss_S2-31,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A4,Fe_T1_R2_Ss_S2-31,D,UNKNOWN,FAM,NFQ-MGB,25.2767963409,25.3049087524,0.0397556052,,,,0,0.02,1,3,23,,N,N,Y
A5,Fe_T1_R2_Ss_S3-7,C,UNKNOWN,VIC,NFQ-MGB,28.2103996277,28.1181259155,0.1304947287,,,,0,0.02,1,3,26,,N,N,N
A5,Fe_T1_R2_Ss_S3-7,D,UNKNOWN,FAM,NFQ-MGB,27.6988220215,27.9494781494,0.3544813097,,,,0,0.02,1,3,26,,N,N,N
A6,Fe_T1_R2_Ss_S3-11,C,UNKNOWN,VIC,NFQ-MGB,30.9581890106,30.8792381287,0.1116520613,,,,0,0.02,1,3,29,,N,N,N
A6,Fe_T1_R2_Ss_S3-11,D,UNKNOWN,FAM,NFQ-MGB,28.7697067261,28.4987869263,0.3831371069,,,,0,0.02,1,3,27,,N,N,N
A7,Fe_T1_R2_Ss_S4-26,C,UNKNOWN,VIC,NFQ-MGB,28.0637454987,28.1207885742,0.0806724429,,,,0,0.02,1,3,26,,N,N,N
A7,Fe_T1_R2_Ss_S4-26,D,UNKNOWN,FAM,NFQ-MGB,25.3891181946,25.2971687317,0.1300348341,,,,0,0.02,1,3,23,,N,N,N
A8,Fe_T1_R2_Ss_S4-28,C,UNKNOWN,VIC,NFQ-MGB,30.0048027039,30.0004825592,0.0061096069,,,,0,0.02,1,3,28,,N,N,N
A8,Fe_T1_R2_Ss_S4-28,D,UNKNOWN,FAM,NFQ-MGB,25.8213863373,25.7901859283,0.0441240408,,,,0,0.02,1,3,24,,N,N,N
A9,Fe_T1_R2_Ss_S5-13,C,UNKNOWN,VIC,NFQ-MGB,33.7491950989,33.7491950989,,,,,0,0.02,1,3,29,,N,N,N
A9,Fe_T1_R2_Ss_S5-13,D,UNKNOWN,FAM,NFQ-MGB,26.7775096893,26.4304618835,0.4907997251,,,,0,0.02,1,3,25,,N,N,N
A10,Fe_T1_R2_Ss_S5-23,C,UNKNOWN,VIC,NFQ-MGB,30.4864044189,30.931640625,0.6296590567,,,,0,0.02,1,3,29,,Y,N,N
A10,Fe_T1_R2_Ss_S5-23,D,UNKNOWN,FAM,NFQ-MGB,25.8533668518,26.0922546387,0.3378383517,,,,0,0.02,1,3,24,,Y,N,N
A11,Fe_T1_R2_Ss_S6-15,C,UNKNOWN,VIC,NFQ-MGB,31.644203186,31.9528942108,0.436555028,,,,0,0.02,1,3,31,,N,N,N
A11,Fe_T1_R2_Ss_S6-15,D,UNKNOWN,FAM,NFQ-MGB,24.7752285004,24.7267227173,0.0685975328,,,,0,0.02,1,3,23,,N,N,N
A12,Fe_T1_R2_Ss_S6-21,C,UNKNOWN,VIC,NFQ-MGB,32.0656890869,32.0656890869,,,,,0,0.02,1,3,28,,N,N,N
A12,Fe_T1_R2_Ss_S6-21,D,UNKNOWN,FAM,NFQ-MGB,25.6356430054,25.4901809692,0.2057157308,,,,0,0.02,1,3,24,,N,N,N
B1,Fe_T1_R2_Ss_S1-12,C,UNKNOWN,VIC,NFQ-MGB,27.101026535,27.341709137,0.3403765857,,,,0,0.02,1,3,25,,Y,N,N
B1,Fe_T1_R2_Ss_S1-12,D,UNKNOWN,FAM,NFQ-MGB,33.2406005859,34.2384796143,1.4112167358,,,,0,0.02,1,3,31,,Y,N,N
B2,Fe_T1_R2_Ss_S1-16,C,UNKNOWN,VIC,NFQ-MGB,28.751701355,28.7974052429,0.0646350607,,,,0,0.02,1,3,27,,N,N,N
B2,Fe_T1_R2_Ss_S1-16,D,UNKNOWN,FAM,NFQ-MGB,26.9503803253,26.9303646088,0.0283064973,,,,0,0.02,1,3,25,,N,N,N
B3,Fe_T1_R2_Ss_S2-4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.6410598755,,,,,0,0.02,1,3,39,,N,Y,Y
B3,Fe_T1_R2_Ss_S2-4,D,UNKNOWN,FAM,NFQ-MGB,25.6986274719,25.7859191895,0.1234477833,,,,0,0.02,1,3,24,,N,Y,Y
B4,Fe_T1_R2_Ss_S2-31,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B4,Fe_T1_R2_Ss_S2-31,D,UNKNOWN,FAM,NFQ-MGB,25.3330192566,25.3049087524,0.0397556052,,,,0,0.02,1,3,23,,N,N,Y
B5,Fe_T1_R2_Ss_S3-7,C,UNKNOWN,VIC,NFQ-MGB,28.0258522034,28.1181259155,0.1304947287,,,,0,0.02,1,3,26,,N,N,N
B5,Fe_T1_R2_Ss_S3-7,D,UNKNOWN,FAM,NFQ-MGB,28.2001342773,27.9494781494,0.3544813097,,,,0,0.02,1,3,26,,N,N,N
B6,Fe_T1_R2_Ss_S3-11,C,UNKNOWN,VIC,NFQ-MGB,30.8002891541,30.8792381287,0.1116520613,,,,0,0.02,1,3,29,,N,N,N
B6,Fe_T1_R2_Ss_S3-11,D,UNKNOWN,FAM,NFQ-MGB,28.2278690338,28.4987869263,0.3831371069,,,,0,0.02,1,3,26,,N,N,N
B7,Fe_T1_R2_Ss_S4-26,C,UNKNOWN,VIC,NFQ-MGB,28.1778335571,28.1207885742,0.0806724429,,,,0,0.02,1,3,26,,N,N,N
B7,Fe_T1_R2_Ss_S4-26,D,UNKNOWN,FAM,NFQ-MGB,25.2052211761,25.2971687317,0.1300348341,,,,0,0.02,1,3,23,,N,N,N
B8,Fe_T1_R2_Ss_S4-28,C,UNKNOWN,VIC,NFQ-MGB,29.9961624146,30.0004825592,0.0061096069,,,,0,0.02,1,3,28,,N,N,N
B8,Fe_T1_R2_Ss_S4-28,D,UNKNOWN,FAM,NFQ-MGB,25.7589855194,25.7901859283,0.0441240408,,,,0,0.02,1,3,24,,N,N,N
B9,Fe_T1_R2_Ss_S5-13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.7491950989,,,,,0,0.02,1,3,39,,N,N,Y
B9,Fe_T1_R2_Ss_S5-13,D,UNKNOWN,FAM,NFQ-MGB,26.0834140778,26.4304618835,0.4907997251,,,,0,0.02,1,3,24,,N,N,Y
B10,Fe_T1_R2_Ss_S5-23,C,UNKNOWN,VIC,NFQ-MGB,31.3768768311,30.931640625,0.6296590567,,,,0,0.02,1,3,30,,Y,N,N
B10,Fe_T1_R2_Ss_S5-23,D,UNKNOWN,FAM,NFQ-MGB,26.3311424255,26.0922546387,0.3378383517,,,,0,0.02,1,3,24,,Y,N,N
B11,Fe_T1_R2_Ss_S6-15,C,UNKNOWN,VIC,NFQ-MGB,32.2615852356,31.9528942108,0.436555028,,,,0,0.02,1,3,31,,N,N,N
B11,Fe_T1_R2_Ss_S6-15,D,UNKNOWN,FAM,NFQ-MGB,24.6782169342,24.7267227173,0.0685975328,,,,0,0.02,1,3,22,,N,N,N
B12,Fe_T1_R2_Ss_S6-21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.0656890869,,,,,0,0.02,1,3,39,,N,N,Y
B12,Fe_T1_R2_Ss_S6-21,D,UNKNOWN,FAM,NFQ-MGB,25.3447170258,25.4901809692,0.2057157308,,,,0,0.02,1,3,23,,N,N,Y
C1,Fe_T1_R2_Ss_S1-12,Ssid,UNKNOWN,FAM,NFQ-MGB,19.9951896667,20.3652076721,0.523283124,,,,0,0.02,1,3,17,,Y,N,N
C2,Fe_T1_R2_Ss_S1-16,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3176860809,20.3663806915,0.0688645765,,,,0,0.02,1,3,18,,N,N,N
