Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate47.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-11-25 19:01:28 PM EST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,CO2_T0_R2_Ss_S1-3,C,UNKNOWN,VIC,NFQ-MGB,28.1949062347,27.8495254517,0.4884421825,,,,0,0.02,1,3,26,,Y,N,N
A1,CO2_T0_R2_Ss_S1-3,D,UNKNOWN,FAM,NFQ-MGB,25.1297245026,24.7501449585,0.5368065238,,,,1,0.02,1,3,23,,Y,N,N
A2,CO2_T0_R2_Ss_S1-20,C,UNKNOWN,VIC,NFQ-MGB,31.9520072937,32.1386108398,0.2638999522,,,,0,0.02,1,3,31,,N,N,N
A2,CO2_T0_R2_Ss_S1-20,D,UNKNOWN,FAM,NFQ-MGB,25.7387199402,25.7825717926,0.0620158836,,,,1,0.02,1,3,24,,N,N,N
A3,CO2_T0_R2_Ss_S2-5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A3,CO2_T0_R2_Ss_S2-5,D,UNKNOWN,FAM,NFQ-MGB,24.3929367065,24.1208305359,0.3848148882,,,,1,0.02,1,3,22,,N,N,Y
A4,CO2_T0_R2_Ss_S2-27,C,UNKNOWN,VIC,NFQ-MGB,31.8197746277,31.8197746277,,,,,0,0.02,1,3,27,,N,N,N
A4,CO2_T0_R2_Ss_S2-27,D,UNKNOWN,FAM,NFQ-MGB,24.3840808868,24.3393745422,0.0632256642,,,,1,0.02,1,3,22,,N,N,N
A5,CO2_T0_R2_Ss_S3-15,C,UNKNOWN,VIC,NFQ-MGB,32.7642860413,32.3037872314,0.6512463689,,,,0,0.02,1,3,32,,Y,N,N
A5,CO2_T0_R2_Ss_S3-15,D,UNKNOWN,FAM,NFQ-MGB,24.9702072144,24.9554748535,0.0208333563,,,,1,0.02,1,3,23,,Y,N,N
A6,CO2_T0_R2_Ss_S3-24,C,UNKNOWN,VIC,NFQ-MGB,31.1746463776,31.3179244995,0.2026245147,,,,0,0.02,1,3,30,,N,N,N
A6,CO2_T0_R2_Ss_S3-24,D,UNKNOWN,FAM,NFQ-MGB,24.6213169098,24.6629085541,0.0588194691,,,,1,0.02,1,3,23,,N,N,N
A7,CO2_T0_R2_Ss_S4-6,C,UNKNOWN,VIC,NFQ-MGB,28.357301712,28.4323272705,0.1061035097,,,,0,0.02,1,3,27,,N,N,N
A7,CO2_T0_R2_Ss_S4-6,D,UNKNOWN,FAM,NFQ-MGB,25.7936115265,25.7446289063,0.0692718849,,,,1,0.02,1,3,24,,N,N,N
A8,CO2_T0_R2_Ss_S4-20,C,UNKNOWN,VIC,NFQ-MGB,30.6450195313,30.7504005432,0.1490326077,,,,0,0.02,1,3,29,,N,N,N
A8,CO2_T0_R2_Ss_S4-20,D,UNKNOWN,FAM,NFQ-MGB,25.4387397766,25.3919467926,0.0661752746,,,,1,0.02,1,3,23,,N,N,N
A9,CO2_T0_R2_Ss_S5-16,C,UNKNOWN,VIC,NFQ-MGB,32.875667572,33.1248703003,0.3524231911,,,,0,0.02,1,3,33,,N,N,N
A9,CO2_T0_R2_Ss_S5-16,D,UNKNOWN,FAM,NFQ-MGB,24.4448394775,24.553237915,0.1532985419,,,,1,0.02,1,3,22,,N,N,N
A10,CO2_T0_R2_Ss_S5-26,C,UNKNOWN,VIC,NFQ-MGB,33.5779304504,33.3933296204,0.2610650063,,,,0,0.02,1,3,34,,N,N,N
A10,CO2_T0_R2_Ss_S5-26,D,UNKNOWN,FAM,NFQ-MGB,24.3792724609,24.3301811218,0.0694242865,,,,1,0.02,1,3,22,,N,N,N
A11,CO2_T0_R2_Ss_S6-2,C,UNKNOWN,VIC,NFQ-MGB,34.4918632507,35.0755882263,0.8255117536,,,,0,0.02,1,3,35,,Y,N,N
A11,CO2_T0_R2_Ss_S6-2,D,UNKNOWN,FAM,NFQ-MGB,24.1457843781,24.2316551208,0.1214382201,,,,1,0.02,1,3,22,,Y,N,N
A12,CO2_T0_R2_Ss_S6-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
A12,CO2_T0_R2_Ss_S6-22,D,UNKNOWN,FAM,NFQ-MGB,24.6289081573,24.3577480316,0.3834783137,,,,1,0.02,1,3,23,,N,N,Y
B1,CO2_T0_R2_Ss_S1-3,C,UNKNOWN,VIC,NFQ-MGB,27.5041446686,27.8495254517,0.4884421825,,,,0,0.02,1,3,26,,Y,N,N
B1,CO2_T0_R2_Ss_S1-3,D,UNKNOWN,FAM,NFQ-MGB,24.3705654144,24.7501449585,0.5368065238,,,,1,0.02,1,3,22,,Y,N,N
B2,CO2_T0_R2_Ss_S1-20,C,UNKNOWN,VIC,NFQ-MGB,32.3252182007,32.1386108398,0.2638999522,,,,0,0.02,1,3,31,,N,N,N
B2,CO2_T0_R2_Ss_S1-20,D,UNKNOWN,FAM,NFQ-MGB,25.826423645,25.7825717926,0.0620158836,,,,1,0.02,1,3,24,,N,N,N
B3,CO2_T0_R2_Ss_S2-5,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B3,CO2_T0_R2_Ss_S2-5,D,UNKNOWN,FAM,NFQ-MGB,23.8487262726,24.1208305359,0.3848148882,,,,1,0.02,1,3,22,,N,N,Y
B4,CO2_T0_R2_Ss_S2-27,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,31.8197746277,,,,,0,0.02,1,3,39,,N,N,Y
B4,CO2_T0_R2_Ss_S2-27,D,UNKNOWN,FAM,NFQ-MGB,24.2946662903,24.3393745422,0.0632256642,,,,1,0.02,1,3,22,,N,N,Y
B5,CO2_T0_R2_Ss_S3-15,C,UNKNOWN,VIC,NFQ-MGB,31.8432846069,32.3037872314,0.6512463689,,,,0,0.02,1,3,31,,Y,N,N
B5,CO2_T0_R2_Ss_S3-15,D,UNKNOWN,FAM,NFQ-MGB,24.9407444,24.9554748535,0.0208333563,,,,1,0.02,1,3,23,,Y,N,N
B6,CO2_T0_R2_Ss_S3-24,C,UNKNOWN,VIC,NFQ-MGB,31.4612007141,31.3179244995,0.2026245147,,,,0,0.02,1,3,30,,N,N,N
B6,CO2_T0_R2_Ss_S3-24,D,UNKNOWN,FAM,NFQ-MGB,24.7045001984,24.6629085541,0.0588194691,,,,1,0.02,1,3,23,,N,N,N
B7,CO2_T0_R2_Ss_S4-6,C,UNKNOWN,VIC,NFQ-MGB,28.5073547363,28.4323272705,0.1061035097,,,,0,0.02,1,3,27,,N,N,N
B7,CO2_T0_R2_Ss_S4-6,D,UNKNOWN,FAM,NFQ-MGB,25.695646286,25.7446289063,0.0692718849,,,,1,0.02,1,3,24,,N,N,N
B8,CO2_T0_R2_Ss_S4-20,C,UNKNOWN,VIC,NFQ-MGB,30.8557834625,30.7504005432,0.1490326077,,,,0,0.02,1,3,29,,N,N,N
B8,CO2_T0_R2_Ss_S4-20,D,UNKNOWN,FAM,NFQ-MGB,25.3451538086,25.3919467926,0.0661752746,,,,1,0.02,1,3,23,,N,N,N
B9,CO2_T0_R2_Ss_S5-16,C,UNKNOWN,VIC,NFQ-MGB,33.3740692139,33.1248703003,0.3524231911,,,,0,0.02,1,3,33,,N,N,N
B9,CO2_T0_R2_Ss_S5-16,D,UNKNOWN,FAM,NFQ-MGB,24.6616363525,24.553237915,0.1532985419,,,,1,0.02,1,3,23,,N,N,N
B10,CO2_T0_R2_Ss_S5-26,C,UNKNOWN,VIC,NFQ-MGB,33.2087287903,33.3933296204,0.2610650063,,,,0,0.02,1,3,33,,N,N,N
B10,CO2_T0_R2_Ss_S5-26,D,UNKNOWN,FAM,NFQ-MGB,24.2810916901,24.3301811218,0.0694242865,,,,1,0.02,1,3,22,,N,N,N
B11,CO2_T0_R2_Ss_S6-2,C,UNKNOWN,VIC,NFQ-MGB,35.6593132019,35.0755882263,0.8255117536,,,,0,0.02,1,3,35,,Y,N,N
B11,CO2_T0_R2_Ss_S6-2,D,UNKNOWN,FAM,NFQ-MGB,24.3175239563,24.2316551208,0.1214382201,,,,1,0.02,1,3,22,,Y,N,N
B12,CO2_T0_R2_Ss_S6-22,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
B12,CO2_T0_R2_Ss_S6-22,D,UNKNOWN,FAM,NFQ-MGB,24.0865879059,24.3577480316,0.3834783137,,,,1,0.02,1,3,22,,N,N,Y
C1,CO2_T0_R2_Ss_S1-3,Ssid,UNKNOWN,FAM,NFQ-MGB,17.8005409241,17.7759552002,0.0347681157,,,,1,0.02,1,3,16,,N,N,N
C2,CO2_T0_R2_Ss_S1-20,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1475944519,20.2345733643,0.1230054051,,,,1,0.02,1,3,18,,N,N,N
C3,CO2_T0_R2_Ss_S2-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4895153046,20.4684753418,0.029755,,,,1,0.02,1,3,17,,N,N,N
C4,CO2_T0_R2_Ss_S2-27,Ssid,UNKNOWN,FAM,NFQ-MGB,19.687538147,19.6362800598,0.0724885315,,,,1,0.02,1,3,17,,N,N,N
C5,CO2_T0_R2_Ss_S3-15,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6273536682,22.4621582031,0.2336230129,,,,1,0.02,1,3,21,,N,N,N
C6,CO2_T0_R2_Ss_S3-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.3606529236,21.4239273071,0.0894821435,,,,1,0.02,1,3,19,,N,N,N
C7,CO2_T0_R2_Ss_S4-6,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2287921906,20.2986221313,0.0987531021,,,,1,0.02,1,3,17,,N,N,N
C8,CO2_T0_R2_Ss_S4-20,Ssid,UNKNOWN,FAM,NFQ-MGB,20.2150306702,20.0524253845,0.2299599499,,,,1,0.02,1,3,18,,N,N,N
C9,CO2_T0_R2_Ss_S5-16,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8929252625,20.0262203217,0.1885076761,,,,1,0.02,1,3,18,,N,N,N
C10,CO2_T0_R2_Ss_S5-26,Ssid,UNKNOWN,FAM,NFQ-MGB,20.067609787,20.0385894775,0.0410422646,,,,1,0.02,1,3,17,,N,N,N
C11,CO2_T0_R2_Ss_S6-2,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3876781464,20.4429969788,0.078232646,,,,1,0.02,1,3,18,,N,N,N
C12,CO2_T0_R2_Ss_S6-22,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4520988464,20.4078903198,0.0625202954,,,,1,0.02,1,3,18,,N,N,N
D1,CO2_T0_R2_Ss_S1-3,Ssid,UNKNOWN,FAM,NFQ-MGB,17.7513713837,17.7759552002,0.0347681157,,,,1,0.02,1,3,14,,N,N,N
D2,CO2_T0_R2_Ss_S1-20,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3215503693,20.2345733643,0.1230054051,,,,1,0.02,1,3,18,,N,N,N
D3,CO2_T0_R2_Ss_S2-5,Ssid,UNKNOWN,FAM,NFQ-MGB,20.447435379,20.4684753418,0.029755,,,,1,0.02,1,3,18,,N,N,N
D4,CO2_T0_R2_Ss_S2-27,Ssid,UNKNOWN,FAM,NFQ-MGB,19.58502388,19.6362800598,0.0724885315,,,,1,0.02,1,3,17,,N,N,N
D5,CO2_T0_R2_Ss_S3-15,Ssid,UNKNOWN,FAM,NFQ-MGB,22.2969608307,22.4621582031,0.2336230129,,,,1,0.02,1,3,20,,N,N,N
D6,CO2_T0_R2_Ss_S3-24,Ssid,UNKNOWN,FAM,NFQ-MGB,21.4871997833,21.4239273071,0.0894821435,,,,1,0.02,1,3,19,,N,N,N
D7,CO2_T0_R2_Ss_S4-6,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3684501648,20.2986221313,0.0987531021,,,,1,0.02,1,3,17,,N,N,N
D8,CO2_T0_R2_Ss_S4-20,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8898181915,20.0524253845,0.2299599499,,,,1,0.02,1,3,17,,N,N,N
D9,CO2_T0_R2_Ss_S5-16,Ssid,UNKNOWN,FAM,NFQ-MGB,20.1595153809,20.0262203217,0.1885076761,,,,1,0.02,1,3,17,,N,N,N
D10,CO2_T0_R2_Ss_S5-26,Ssid,UNKNOWN,FAM,NFQ-MGB,20.0095672607,20.0385894775,0.0410422646,,,,1,0.02,1,3,17,,N,N,N
D11,CO2_T0_R2_Ss_S6-2,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4983158112,20.4429969788,0.078232646,,,,1,0.02,1,3,18,,N,N,N
D12,CO2_T0_R2_Ss_S6-22,Ssid,UNKNOWN,FAM,NFQ-MGB,20.3636817932,20.4078903198,0.0625202954,,,,1,0.02,1,3,17,,N,N,N
E1,NPF_T2_R2_Ss_S4-18,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4169368744,20.556804657,0.1978042573,,,,1,0.02,1,3,18,,N,N,N
E2,Fe_T2_R1_Ss_S6-1,Ssid,UNKNOWN,FAM,NFQ-MGB,23.3476524353,23.4337482452,0.121757865,,,,1,0.02,1,3,21,,N,N,N
E3,D_T2_R2_Ss_S6-11,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.3051757813,,,,,1,0.02,1,3,39,,N,N,Y
